epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,84.9909,1.63906,0.25671,0.43077,1.78105,1.40222,0.38543,0.37008,0.23689,0.12673,0.36552,0.30904,0.216,0.21235,1.79019,0.93998,0.36438,2.06388,1.49797,0.000820525,0.000820525,0.000820525
30,87.9217,1.74312,0.24884,0.42697,1.90258,1.47924,0.40548,0.28712,0.20874,0.11988,0.41295,0.24323,0.18433,0.18084,1.81672,0.94308,0.36153,2.10934,1.51854,0.000808389,0.000808389,0.000808389
31,90.7863,1.61586,0.14037,0.40101,1.63788,1.37019,0.14423,0.39235,0.21279,0.114,0.66138,0.18618,0.19173,0.18837,1.78349,0.93781,0.36509,2.16441,1.52749,0.000795954,0.000795954,0.000795954
32,93.7472,1.65088,0.10622,0.39324,1.688,1.37274,0.67819,0.21559,0.22307,0.12119,0.75558,0.18518,0.20508,0.20048,1.64978,0.94497,0.35526,1.99195,1.47481,0.000783231,0.000783231,0.000783231
33,96.7079,1.54562,0.20591,0.47123,1.70498,1.37236,0.61448,0.24735,0.26191,0.14738,0.65866,0.21559,0.2438,0.23725,1.59728,0.93187,0.35819,1.85769,1.44419,0.000770234,0.000770234,0.000770234
34,99.6222,1.605,0.10554,0.40492,1.65574,1.40251,0.2966,0.32324,0.21469,0.12647,0.29878,0.33147,0.20142,0.19395,1.61651,0.91628,0.36424,1.94153,1.46306,0.000756976,0.000756976,0.000756976
35,102.511,1.50715,0.07684,0.43153,1.73536,1.33083,0.48965,0.23647,0.1961,0.1057,0.5617,0.18471,0.19487,0.17937,1.68858,0.91532,0.37107,2.02392,1.49883,0.000743468,0.000743468,0.000743468
36,105.461,1.51968,0.10538,0.4137,1.67904,1.31035,0.53046,0.24901,0.16313,0.1026,0.59364,0.14353,0.16638,0.1498,1.6832,0.92987,0.37892,2.08609,1.47154,0.000729725,0.000729725,0.000729725
37,108.32,1.57881,0.1472,0.50057,1.80326,1.35691,0.53245,0.24735,0.17049,0.11044,0.59939,0.17377,0.1711,0.15486,1.72337,0.93263,0.3731,2.07802,1.48577,0.000715761,0.000715761,0.000715761
38,111.19,1.56601,0.10612,0.40701,1.77253,1.36794,0.53985,0.24735,0.18546,0.11021,0.31852,0.37453,0.17685,0.16816,1.65827,0.92963,0.36212,1.99482,1.45242,0.000701588,0.000701588,0.000701588
39,114.134,1.56168,0.1064,0.43159,1.68116,1.39857,0.40178,0.37235,0.20171,0.11784,0.38752,0.34059,0.19604,0.18674,1.60379,0.9277,0.36687,2.00914,1.45523,0.000687222,0.000687222,0.000687222
40,117.131,1.50527,0.10976,0.37579,1.55111,1.28019,0.37951,0.39704,0.2027,0.12853,0.35485,0.31559,0.19398,0.18863,1.61071,0.92484,0.36775,1.93953,1.43519,0.000672675,0.000672675,0.000672675
41,120.01,1.52142,0.09461,0.4578,1.64097,1.35514,0.37399,0.40324,0.19925,0.12332,0.36177,0.39147,0.18988,0.18556,1.61032,0.92279,0.3626,1.88594,1.43451,0.000657963,0.000657963,0.000657963
42,122.952,1.45997,0.14918,0.40683,1.59714,1.28042,0.46242,0.36735,0.22792,0.13604,0.45064,0.33559,0.22256,0.21675,1.59886,0.92621,0.36432,1.96212,1.43033,0.000643101,0.000643101,0.000643101
43,125.899,1.49701,0.07389,0.4494,1.67623,1.33575,0.43929,0.36735,0.23004,0.14275,0.43475,0.35559,0.22687,0.21797,1.56855,0.92269,0.36414,1.93929,1.40872,0.000628101,0.000628101,0.000628101
44,128.829,1.42952,0.11621,0.38661,1.63098,1.26946,0.35206,0.32655,0.23787,0.15238,0.34382,0.3001,0.2303,0.22316,1.60773,0.92498,0.36256,2.01808,1.43152,0.000612981,0.000612981,0.000612981
45,131.753,1.45445,0.07402,0.48128,1.58599,1.29511,0.35767,0.36735,0.23039,0.14415,0.33627,0.30009,0.22353,0.21627,1.61673,0.92541,0.36754,2.00096,1.43407,0.000597754,0.000597754,0.000597754
46,134.583,1.5282,0.10078,0.39677,1.60983,1.37558,0.35992,0.29735,0.22537,0.14409,0.35107,0.28559,0.21452,0.20533,1.59194,0.92535,0.36397,1.95728,1.41561,0.000582435,0.000582435,0.000582435
47,137.491,1.4229,0.13239,0.37225,1.5209,1.27645,0.37288,0.34824,0.22199,0.14599,0.3402,0.31647,0.21247,0.20477,1.56018,0.92469,0.36792,1.91712,1.40643,0.00056704,0.00056704,0.00056704
48,140.617,1.5341,0.17724,0.46973,1.66947,1.37148,0.53793,0.34319,0.21785,0.14121,0.52818,0.31647,0.20655,0.20233,1.53967,0.92502,0.36989,1.94833,1.40696,0.000551584,0.000551584,0.000551584
49,143.677,1.39465,0.16123,0.36221,1.53287,1.26939,0.3235,0.37441,0.23243,0.14693,0.3488,0.38502,0.22281,0.21812,1.57013,0.92984,0.35959,1.91786,1.41858,0.000536081,0.000536081,0.000536081
50,146.677,1.47203,0.14024,0.47175,1.56077,1.29435,0.36346,0.4195,0.24908,0.16181,0.37707,0.40903,0.23541,0.23252,1.59478,0.93064,0.35508,1.91347,1.41699,0.000520548,0.000520548,0.000520548
51,149.644,1.37569,0.12572,0.36607,1.46855,1.20914,0.58269,0.25235,0.23816,0.15998,0.52735,0.26559,0.23171,0.22536,1.57571,0.92912,0.35601,1.94411,1.42782,0.000505,0.000505,0.000505
52,152.61,1.31257,0.15754,0.35021,1.48104,1.23029,0.52382,0.33457,0.2536,0.16238,0.34381,0.37337,0.26439,0.24126,1.59282,0.93704,0.36324,1.99407,1.42904,0.000489452,0.000489452,0.000489452
53,155.523,1.42838,0.0725,0.36707,1.55938,1.22993,0.55134,0.32824,0.244,0.14569,0.39576,0.4124,0.28064,0.23577,1.56808,0.92546,0.36196,1.94509,1.39591,0.000473919,0.000473919,0.000473919
54,158.445,1.41944,0.21054,0.3478,1.51508,1.2347,0.3541,0.33585,0.24457,0.14927,0.4081,0.39029,0.25877,0.23582,1.56194,0.92327,0.36442,2.00723,1.39415,0.000458416,0.000458416,0.000458416
55,161.414,1.39929,0.0858,0.48303,1.59076,1.27209,0.3931,0.34358,0.23146,0.14976,0.37693,0.36647,0.23598,0.22495,1.53215,0.92433,0.36332,1.93497,1.38382,0.00044296,0.00044296,0.00044296
