name,rows,mask_ap,mask_ap50,tail20,seconds,path,csv_sha256
G02_bilateral_backbone,300,67.241,82.051,65.01464999999999,37.169999999998254,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\02_current_ablation\G02_bilateral_backbone\results.csv,3ab149c6c896df041106403328e38c13ef5e8c0c07ee0b22a317f54376f892c9
T02_g10_retest,240,67.11500000000001,83.319,65.67335,28.809999999999945,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\02_current_ablation\T02_g10_retest\results.csv,7444489fa7b4e830e832479282463a9cc04b3d1e46a148beefabefba9794cde7
T03_moce_lska_retest,186,67.178,83.10600000000001,65.9357,28.56999999999971,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\02_current_ablation\T03_moce_lska_retest\results.csv,70d18a803a67f792109e1222d7f9b0fd93e4a3b16c38bf9e5cf89667ef637938
T08_shape_semantic,297,67.14,82.358,66.17755000000001,30.030000000000427,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\02_current_ablation\T08_shape_semantic\results.csv,ab469c9491ab3953529cfdb02c13d22a44b2546b894208a7f9a52006773819c4
F14_sppf_lska,300,67.599,82.868,66.7675,10.269000000000005,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\03_historical_reference\F14_sppf_lska\results.csv,4c2ff4bf271edba1779fb327baa03eb34bc011d489436ee2e34eff876e4d142e
F57_hco,256,67.373,83.684,66.283,19.519999999999982,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\03_historical_reference\F57_hco\results.csv,b8deb3bc56a3c7410656bf849e8b894f9883150eddf42dba055ae63e4fe59152
G10_hybrid,300,67.681,83.824,66.75179999999999,22.60699999999997,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\03_historical_reference\G10_hybrid\results.csv,dc3b5b1f30b4b3944c6107d7e962e70173cca499041c926d402c5a5cfc4048cb
N02_moce_lska,300,67.341,82.64200000000001,66.73845,23.34999999999991,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\03_historical_reference\N02_moce_lska\results.csv,1eafaa85bbadd4b6d2cc28a4e545b17ee01e3fad2bb0f1295bd8eef87d455a01
YOLOv9c_absolute_score,300,68.173,83.73,67.5671,25.940000000000055,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\03_historical_reference\YOLOv9c_absolute_score\results.csv,fed2b3b7542a9784d5ee819c2b0c53a2cdda3eb196743c0076cc1a7680c94a99
B06_context_topology_lite,255,61.861999999999995,80.182,60.417,27.301500000000004,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\04_grouped_clean_signals\B06_context_topology_lite\results.csv,043f01d3d8d333fda9d2263e4eb2e93e99e6a670445e743701c13b7581344f13
S04_lite_head,300,61.501,78.993,60.39679999999999,34.900000000001455,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\04_grouped_clean_signals\S04_lite_head\results.csv,3926a61a4da652f73023fec6a14218cb97bd0808654f5bbb0977f5ca451835df
SAGE30_official_control_seed42,300,66.719,82.43700000000001,65.89935,20.769999999999527,E:\mastercode\1_SEVER\results\CITRUS_SAGE_V4R_SCREEN_50EP\SAGE30_official_control_seed42\results.csv,abec7aa74afcb228bc4e69bc226f0fd889e99606e94418f596778b7d8f7c1962
SAGE40_asym_control_seed42,300,66.863,82.248,66.0025,14.11999999999989,E:\mastercode\1_SEVER\results\CITRUS_SAGE_V4R_SCREEN_50EP\SAGE40_asym_control_seed42\results.csv,916f4ec690a117c350eb67e9cdc8dfdc0867759571acabe56a6384f1891e4936
SAGE41_asym_direct_detail_seed42,300,67.246,82.538,66.28365000000001,17.960000000000036,E:\mastercode\1_SEVER\results\CITRUS_SAGE_V4R_SCREEN_50EP\SAGE41_asym_direct_detail_seed42\results.csv,75f5a90d9bd565a86c0ccd81155d8e6aa29d1e4048e523a62e2c856e0df9696a
SAGE42_asym_semantic_detail_seed42,300,67.502,82.982,66.4825,10.529999999999745,E:\mastercode\1_SEVER\results\CITRUS_SAGE_V4R_SCREEN_50EP\SAGE42_asym_semantic_detail_seed42\results.csv,6905b65dd39aad7e23042df95fe3f2fe211ec664b91430275ebde6ab05e62af2
SAGE43_asym_reprojection_seed42,300,67.367,82.73,66.0013,14.079999999999927,E:\mastercode\1_SEVER\results\CITRUS_SAGE_V4R_SCREEN_50EP\SAGE43_asym_reprojection_seed42\results.csv,8ad27f356015872f23b2887c84e219d3ba15c0590569d330a47c081cabea53df
SAGE44_asym_boundary_seed42,300,67.43299999999999,82.716,66.4324,20.579999999999927,E:\mastercode\1_SEVER\results\CITRUS_SAGE_V4R_SCREEN_50EP\SAGE44_asym_boundary_seed42\results.csv,6fee75ae4b6c945976e848cd4fd076b23d8a821c6e9240f9c1da4b69a483a842
SAGE45_asym_neighbor_seed42,300,67.291,83.101,66.73125,20.360000000000127,E:\mastercode\1_SEVER\results\CITRUS_SAGE_V4R_SCREEN_50EP\SAGE45_asym_neighbor_seed42\results.csv,50d8e5f39da129cdd197941d5ae890f32419eb11d0a5f65cf84b26e8ae6703d0
SAGE46_asym_geometry_seed42,300,67.491,82.45,67.08545000000001,11.949999999999818,E:\mastercode\1_SEVER\results\CITRUS_SAGE_V4R_SCREEN_50EP\SAGE46_asym_geometry_seed42\results.csv,e5222ba3ed4ea2a77e2dd3a79fba5c3c0f4baf58bd55b74bdbe9fde2e7c87bf4
SAGE47_asym_faster_p4_seed42,300,67.002,82.555,66.09254999999999,17.890000000000327,E:\mastercode\1_SEVER\results\CITRUS_SAGE_V4R_SCREEN_50EP\SAGE47_asym_faster_p4_seed42\results.csv,f71f50346db3d0620162e5d3ecbbcddaefabe44eefc72b10bdffaec2b0ab0d17
SAGE48_asym_gated_p4_seed42,300,66.841,82.729,66.0145,18.039999999999964,E:\mastercode\1_SEVER\results\CITRUS_SAGE_V4R_SCREEN_50EP\SAGE48_asym_gated_p4_seed42\results.csv,b3c85cc12f1f6a8e92709d7430bfc30361dad3ca0bcafc235cd50b0e67ef164e
F01_yolo11-seg-p2_300ep,1,0.0,0.0,0.0,,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F01_yolo11-seg-p2_300ep\results.csv,85611f49d1f549a7a0956a2ffaf94132fd189a8d8e58a1cadf19dd543201089a
F02_yolo11-seg-p2-spd_300ep,1,0.0,0.0,0.0,,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F02_yolo11-seg-p2-spd_300ep\results.csv,581c25646144cc6a49a16734c9584e2fed2dc5fd189715ef077464a92f334803
F03_yolo11-seg-spdconv_300ep,300,66.309,81.844,65.59125,10.529999999999973,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F03_yolo11-seg-spdconv_300ep\results.csv,fafd9552dd0d086a32723bcd86f91bb395fdeeb5c1983626b51cf72c534709fd
