"mismatch_order","split","order","gt_count","pred_count","extra_predictions","missing_predictions","abs_count_diff","image","output"
"91","val","57","5","8","3","0","3","E:\mastercode\data\test\images\val\IMG_20260706_102702.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_102702_val_gt05_pred08_diff03_extra+03.jpg"
"92","val","58","2","4","2","0","2","E:\mastercode\data\test\images\val\IMG_20260706_102716.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_102716_val_gt02_pred04_diff02_extra+02.jpg"
"93","train","167","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_102803.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_102803_train_gt02_pred03_diff01_extra+01.jpg"
"94","train","169","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_102809.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_102809_train_gt02_pred03_diff01_extra+01.jpg"
"95","train","170","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_102810.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_102810_train_gt02_pred03_diff01_extra+01.jpg"
"96","train","171","5","4","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_102818.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_102818_train_gt05_pred04_diff01_extra-01.jpg"
"97","train","173","4","5","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_102821_1.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_102821_1_train_gt04_pred05_diff01_extra+01.jpg"
"98","train","174","2","6","4","0","4","E:\mastercode\data\test\images\train\IMG_20260706_102826.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_102826_train_gt02_pred06_diff04_extra+04.jpg"
"99","train","176","4","6","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_102841.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_102841_train_gt04_pred06_diff02_extra+02.jpg"
"100","train","178","7","9","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_102851.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_102851_train_gt07_pred09_diff02_extra+02.jpg"
"101","train","179","10","9","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_102855.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_102855_train_gt10_pred09_diff01_extra-01.jpg"
"102","train","187","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_102941.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_102941_train_gt02_pred03_diff01_extra+01.jpg"
"103","train","188","7","4","-3","3","3","E:\mastercode\data\test\images\train\IMG_20260706_102950.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_102950_train_gt07_pred04_diff03_extra-03.jpg"
"104","train","192","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103005.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103005_train_gt02_pred03_diff01_extra+01.jpg"
"105","train","194","4","5","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103010.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103010_train_gt04_pred05_diff01_extra+01.jpg"
"106","train","195","3","4","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103012.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103012_train_gt03_pred04_diff01_extra+01.jpg"
"107","train","196","4","5","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103013.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103013_train_gt04_pred05_diff01_extra+01.jpg"
"108","train","197","7","5","-2","2","2","E:\mastercode\data\test\images\train\IMG_20260706_103017.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103017_train_gt07_pred05_diff02_extra-02.jpg"
"109","train","198","7","4","-3","3","3","E:\mastercode\data\test\images\train\IMG_20260706_103019.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103019_train_gt07_pred04_diff03_extra-03.jpg"
"110","train","202","11","0","-11","11","11","E:\mastercode\data\test\images\train\IMG_20260706_103032.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103032_train_gt11_pred00_diff11_extra-11.jpg"
"111","train","203","0","2","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_103033.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103033_train_gt00_pred02_diff02_extra+02.jpg"
"112","train","205","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103039.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103039_train_gt02_pred03_diff01_extra+01.jpg"
"113","train","206","6","7","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103042.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103042_train_gt06_pred07_diff01_extra+01.jpg"
"114","train","208","4","6","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_103055.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103055_train_gt04_pred06_diff02_extra+02.jpg"
