"mismatch_order","split","order","gt_count","pred_count","extra_predictions","missing_predictions","abs_count_diff","image","output"
"166","train","260","12","14","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_103912.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103912_train_gt12_pred14_diff02_extra+02.jpg"
"167","train","261","12","13","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103913.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103913_train_gt12_pred13_diff01_extra+01.jpg"
"168","train","262","13","9","-4","4","4","E:\mastercode\data\test\images\train\IMG_20260706_103915.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103915_train_gt13_pred09_diff04_extra-04.jpg"
"169","train","265","6","7","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103924.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103924_train_gt06_pred07_diff01_extra+01.jpg"
"170","train","266","7","10","3","0","3","E:\mastercode\data\test\images\train\IMG_20260706_103925.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103925_train_gt07_pred10_diff03_extra+03.jpg"
"171","train","272","1","2","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103942.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103942_train_gt01_pred02_diff01_extra+01.jpg"
"172","train","273","1","2","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103949.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103949_train_gt01_pred02_diff01_extra+01.jpg"
"173","train","274","4","7","3","0","3","E:\mastercode\data\test\images\train\IMG_20260706_103952.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103952_train_gt04_pred07_diff03_extra+03.jpg"
"174","train","275","7","2","-5","5","5","E:\mastercode\data\test\images\train\IMG_20260706_104002.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104002_train_gt07_pred02_diff05_extra-05.jpg"
"175","train","276","3","5","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_104007.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104007_train_gt03_pred05_diff02_extra+02.jpg"
"176","train","284","1","2","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_104042.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104042_train_gt01_pred02_diff01_extra+01.jpg"
"177","train","288","6","4","-2","2","2","E:\mastercode\data\test\images\train\IMG_20260706_104057.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104057_train_gt06_pred04_diff02_extra-02.jpg"
"178","train","290","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_104102.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104102_train_gt02_pred03_diff01_extra+01.jpg"
"179","train","291","2","4","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_104107.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104107_train_gt02_pred04_diff02_extra+02.jpg"
"180","train","292","1","3","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_104109.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104109_train_gt01_pred03_diff02_extra+02.jpg"
"181","train","293","4","5","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_104110.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104110_train_gt04_pred05_diff01_extra+01.jpg"
"182","train","294","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_104125.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104125_train_gt02_pred03_diff01_extra+01.jpg"
"183","train","297","2","1","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_104131.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104131_train_gt02_pred01_diff01_extra-01.jpg"
"184","train","303","6","4","-2","2","2","E:\mastercode\data\test\images\train\IMG_20260706_104146.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104146_train_gt06_pred04_diff02_extra-02.jpg"
"185","train","306","3","5","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_104159.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104159_train_gt03_pred05_diff02_extra+02.jpg"
"186","train","307","1","2","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_104201.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104201_train_gt01_pred02_diff01_extra+01.jpg"
"187","train","308","13","9","-4","4","4","E:\mastercode\data\test\images\train\IMG_20260706_104206.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104206_train_gt13_pred09_diff04_extra-04.jpg"
"188","train","310","7","6","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_104210.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104210_train_gt07_pred06_diff01_extra-01.jpg"
"189","train","311","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_104212.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104212_train_gt02_pred03_diff01_extra+01.jpg"
"190","train","315","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_104243.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104243_train_gt02_pred03_diff01_extra+01.jpg"
"191","train","316","2","6","4","0","4","E:\mastercode\data\test\images\train\IMG_20260706_104246.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104246_train_gt02_pred06_diff04_extra+04.jpg"
"192","train","318","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_104251.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104251_train_gt02_pred03_diff01_extra+01.jpg"
"193","train","321","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_104304.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104304_train_gt02_pred03_diff01_extra+01.jpg"
"194","train","324","0","1","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_104334.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104334_train_gt00_pred01_diff01_extra+01.jpg"
"195","train","327","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_104357.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104357_train_gt02_pred03_diff01_extra+01.jpg"
"196","train","329","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_104403.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104403_train_gt02_pred03_diff01_extra+01.jpg"
"197","train","332","3","2","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_104421.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104421_train_gt03_pred02_diff01_extra-01.jpg"
"198","train","334","10","8","-2","2","2","E:\mastercode\data\test\images\train\IMG_20260706_104430.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104430_train_gt10_pred08_diff02_extra-02.jpg"
"199","train","336","9","10","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_104433.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104433_train_gt09_pred10_diff01_extra+01.jpg"
"200","train","337","9","4","-5","5","5","E:\mastercode\data\test\images\train\IMG_20260706_104435.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104435_train_gt09_pred04_diff05_extra-05.jpg"
"201","train","341","5","4","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_104450.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104450_train_gt05_pred04_diff01_extra-01.jpg"
"202","train","343","12","11","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_104500.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104500_train_gt12_pred11_diff01_extra-01.jpg"
"203","train","347","3","5","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_104510.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104510_train_gt03_pred05_diff02_extra+02.jpg"
"204","train","349","1","2","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_104954.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_104954_train_gt01_pred02_diff01_extra+01.jpg"
"205","train","350","4","2","-2","2","2","E:\mastercode\data\test\images\train\IMG_20260706_105013.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105013_train_gt04_pred02_diff02_extra-02.jpg"
"206","train","351","4","5","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105015.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105015_train_gt04_pred05_diff01_extra+01.jpg"
"207","train","352","7","5","-2","2","2","E:\mastercode\data\test\images\train\IMG_20260706_105018.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105018_train_gt07_pred05_diff02_extra-02.jpg"
"208","train","353","9","2","-7","7","7","E:\mastercode\data\test\images\train\IMG_20260706_105030.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105030_train_gt09_pred02_diff07_extra-07.jpg"
"209","train","354","4","3","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_105034.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105034_train_gt04_pred03_diff01_extra-01.jpg"
"210","train","355","12","2","-10","10","10","E:\mastercode\data\test\images\train\IMG_20260706_105035.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105035_train_gt12_pred02_diff10_extra-10.jpg"
"211","train","356","5","4","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_105038.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105038_train_gt05_pred04_diff01_extra-01.jpg"
"212","train","357","8","2","-6","6","6","E:\mastercode\data\test\images\train\IMG_20260706_105039.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105039_train_gt08_pred02_diff06_extra-06.jpg"
"213","train","358","3","4","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105043.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105043_train_gt03_pred04_diff01_extra+01.jpg"
"214","train","359","2","1","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_105048.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105048_train_gt02_pred01_diff01_extra-01.jpg"
"215","train","361","4","5","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105058.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105058_train_gt04_pred05_diff01_extra+01.jpg"
"216","train","363","1","2","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105108.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105108_train_gt01_pred02_diff01_extra+01.jpg"
"217","train","365","16","13","-3","3","3","E:\mastercode\data\test\images\train\IMG_20260706_105119.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105119_train_gt16_pred13_diff03_extra-03.jpg"
"218","train","366","9","8","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_105123.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105123_train_gt09_pred08_diff01_extra-01.jpg"
"219","train","367","5","6","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105124.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105124_train_gt05_pred06_diff01_extra+01.jpg"
"220","train","368","3","4","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105126.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105126_train_gt03_pred04_diff01_extra+01.jpg"
"221","train","371","7","8","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105133.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105133_train_gt07_pred08_diff01_extra+01.jpg"
"222","train","372","7","6","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_105134.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105134_train_gt07_pred06_diff01_extra-01.jpg"
"223","train","374","5","6","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105136.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105136_train_gt05_pred06_diff01_extra+01.jpg"
"224","train","379","23","8","-15","15","15","E:\mastercode\data\test\images\train\IMG_20260706_105149.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105149_train_gt23_pred08_diff15_extra-15.jpg"
"225","train","380","4","5","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105151.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105151_train_gt04_pred05_diff01_extra+01.jpg"
"226","train","381","3","4","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105152.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105152_train_gt03_pred04_diff01_extra+01.jpg"
"227","train","382","3","2","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_105155.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105155_train_gt03_pred02_diff01_extra-01.jpg"
"228","train","383","1","2","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105157.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105157_train_gt01_pred02_diff01_extra+01.jpg"
"229","train","384","13","17","4","0","4","E:\mastercode\data\test\images\train\IMG_20260706_105159.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105159_train_gt13_pred17_diff04_extra+04.jpg"
"230","train","385","7","6","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_105203.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105203_train_gt07_pred06_diff01_extra-01.jpg"
"231","train","388","1","3","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_105212.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105212_train_gt01_pred03_diff02_extra+02.jpg"
"232","train","392","1","2","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105235.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105235_train_gt01_pred02_diff01_extra+01.jpg"
"233","train","394","4","3","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_105253.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105253_train_gt04_pred03_diff01_extra-01.jpg"
"234","train","395","6","3","-3","3","3","E:\mastercode\data\test\images\train\IMG_20260706_105254.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105254_train_gt06_pred03_diff03_extra-03.jpg"
"235","train","396","9","10","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105300.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105300_train_gt09_pred10_diff01_extra+01.jpg"
"236","train","397","6","7","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105304.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105304_train_gt06_pred07_diff01_extra+01.jpg"
"237","train","400","6","8","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_105313.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105313_train_gt06_pred08_diff02_extra+02.jpg"
"238","train","403","5","4","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_105334.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105334_train_gt05_pred04_diff01_extra-01.jpg"
"239","train","404","6","4","-2","2","2","E:\mastercode\data\test\images\train\IMG_20260706_105336.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105336_train_gt06_pred04_diff02_extra-02.jpg"
"240","train","405","5","6","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105338.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105338_train_gt05_pred06_diff01_extra+01.jpg"
"241","train","406","3","5","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_105340.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105340_train_gt03_pred05_diff02_extra+02.jpg"
"242","train","407","1","2","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105343.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105343_train_gt01_pred02_diff01_extra+01.jpg"
"243","train","410","9","12","3","0","3","E:\mastercode\data\test\images\train\IMG_20260706_105350.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105350_train_gt09_pred12_diff03_extra+03.jpg"
"244","train","411","3","4","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105351.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105351_train_gt03_pred04_diff01_extra+01.jpg"
"245","train","412","7","6","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_105351_2.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105351_2_train_gt07_pred06_diff01_extra-01.jpg"
"246","train","413","10","3","-7","7","7","E:\mastercode\data\test\images\train\IMG_20260706_105352.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105352_train_gt10_pred03_diff07_extra-07.jpg"
"247","train","415","7","8","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105356.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105356_train_gt07_pred08_diff01_extra+01.jpg"
"248","train","416","4","5","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105403.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105403_train_gt04_pred05_diff01_extra+01.jpg"
"249","train","417","6","7","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105405.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105405_train_gt06_pred07_diff01_extra+01.jpg"
"250","train","418","6","5","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_105406.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105406_train_gt06_pred05_diff01_extra-01.jpg"
"251","train","421","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105415.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105415_train_gt02_pred03_diff01_extra+01.jpg"
"252","train","422","11","13","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_105429.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105429_train_gt11_pred13_diff02_extra+02.jpg"
"253","train","423","8","13","5","0","5","E:\mastercode\data\test\images\train\IMG_20260706_105431.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105431_train_gt08_pred13_diff05_extra+05.jpg"
"254","train","425","5","6","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105436.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105436_train_gt05_pred06_diff01_extra+01.jpg"
"255","train","426","5","6","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105437.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105437_train_gt05_pred06_diff01_extra+01.jpg"
"256","train","430","2","4","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_105447.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105447_train_gt02_pred04_diff02_extra+02.jpg"
"257","train","431","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105450.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105450_train_gt02_pred03_diff01_extra+01.jpg"
"258","train","434","14","11","-3","3","3","E:\mastercode\data\test\images\train\IMG_20260706_105506.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105506_train_gt14_pred11_diff03_extra-03.jpg"
"259","train","435","2","6","4","0","4","E:\mastercode\data\test\images\train\IMG_20260706_105510.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105510_train_gt02_pred06_diff04_extra+04.jpg"
"260","train","437","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_105518.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105518_train_gt02_pred03_diff01_extra+01.jpg"
"261","train","438","11","6","-5","5","5","E:\mastercode\data\test\images\train\IMG_20260706_105521.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105521_train_gt11_pred06_diff05_extra-05.jpg"
"262","train","442","2","1","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_105534.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105534_train_gt02_pred01_diff01_extra-01.jpg"
"263","train","443","5","4","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_105536.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105536_train_gt05_pred04_diff01_extra-01.jpg"
"264","train","444","3","2","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_105538.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105538_train_gt03_pred02_diff01_extra-01.jpg"
"265","train","447","7","6","-1","1","1","E:\mastercode\data\test\images\train\IMG_20260706_105616.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105616_train_gt07_pred06_diff01_extra-01.jpg"
"266","train","448","22","4","-18","18","18","E:\mastercode\data\test\images\train\IMG_20260706_105623.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105623_train_gt22_pred04_diff18_extra-18.jpg"
"267","train","450","5","8","3","0","3","E:\mastercode\data\test\images\train\IMG_20260706_105627.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105627_train_gt05_pred08_diff03_extra+03.jpg"
"268","train","451","5","3","-2","2","2","E:\mastercode\data\test\images\train\IMG_20260706_105629.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_105629_train_gt05_pred03_diff02_extra-02.jpg"
