epoch,train_loss_all,train_acc_all,val_loss_all,val_acc_all
1,2.3037848861694337,0.0945,2.302716802597046,0.1
2,2.303108080673218,0.09340000000000001,2.302654022216797,0.1
3,2.3173463729858397,0.1051,2.3027166862487793,0.1
4,2.291232650756836,0.1107,2.28685933303833,0.137
5,1.8381078844070435,0.3131,1.5254510746002197,0.435
6,1.3155459083557128,0.5099,1.4944613695144653,0.541
7,1.1284801383018495,0.5858,1.1190654983520507,0.614
8,0.9963286304473877,0.6393,1.0045705194473267,0.637
9,0.8470933353424073,0.6975,0.8033136970996857,0.719
10,0.7408897939682006,0.7341000000000001,0.7194778039455414,0.74
11,0.635189014339447,0.7683,0.6224125910997391,0.784
12,0.5568040804386138,0.7972,0.6094269096851349,0.777
13,0.48294132895469666,0.8248000000000001,0.5276715996563435,0.799
14,0.4283010574579239,0.8461000000000001,0.4947923352718353,0.8240000000000001
15,0.38092537589073183,0.8627,0.5078252660669387,0.8260000000000001
16,0.33070265156030654,0.8809,0.48267643900588153,0.854
17,0.3104497897863388,0.888,0.3424495830833912,0.893
18,0.29359364722967146,0.8942,0.4889222621768713,0.842
19,0.25575963997840884,0.9124,0.35658799729496243,0.873
20,0.25390560101270676,0.9119,0.3722825416326523,0.891
21,0.2152542138636112,0.924,0.33082331392169,0.895
22,0.20495963704884052,0.9255,0.3614613228440285,0.894
23,0.20743815182447434,0.9283,0.4217703967168927,0.873
24,0.16808200905323029,0.9412,0.34742910993099213,0.889
25,0.17062164229154586,0.9409000000000001,0.36364001011289654,0.885
26,0.1607170862019062,0.9426,0.3713813988268375,0.877
27,0.162425596049428,0.9438000000000001,0.30126781195402147,0.901
28,0.15124267018139362,0.9471,0.38759313786029814,0.887
29,0.1638189430654049,0.9385,0.25868647468835115,0.912
30,0.11815831128507853,0.9589000000000001,0.2570601102039218,0.924
31,0.12997380474284292,0.9549000000000001,0.3636503419354558,0.888
32,0.14877212858796118,0.9480000000000001,0.5213526685237885,0.866
33,0.12329333132430911,0.9604,0.32719048365950587,0.885
34,0.10798600263521076,0.9635,0.28885709136724474,0.917
35,0.10726640643626452,0.9629000000000001,0.2389666509628296,0.919
36,0.12110995186567307,0.9605,0.3430246565937996,0.894
37,0.08236829899474979,0.9712000000000001,0.3564495164481923,0.912
38,0.09661195585988462,0.9666,0.3050682337465696,0.921
39,0.10438760310672224,0.9643,0.25400896196067335,0.923
40,0.08340105827376247,0.9717,0.2993342660441995,0.923
41,0.10117412883751094,0.9634,0.2883536407991778,0.914
42,0.08073544140979648,0.9712000000000001,0.3740230799652636,0.902
43,0.10265452734902501,0.9642000000000001,0.2297457596473396,0.923
44,0.1060209042608738,0.9655,0.27502085056807846,0.932
45,0.06833130630627275,0.9788,0.37174808914586904,0.89
46,0.09736616945862771,0.9665,0.26915386541932823,0.923
47,0.09265305107533932,0.9664,0.2367819611002924,0.935
48,0.08067805213648827,0.9726,0.2784683948531747,0.915
49,0.07756886458843947,0.9727,0.3480033781733364,0.918
50,0.07119798298999667,0.9752000000000001,0.37352859746757894,0.897
