epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,84.4966,1.59612,0.25544,0.43872,1.79297,1.38882,0.32354,0.24092,0.17383,0.10191,0.51075,0.16706,0.13674,0.13584,1.79477,0.92688,0.38346,2.24963,1.49327,0.00099469,0.00099469,0.00099469
30,87.335,1.7172,0.25173,0.43107,1.90749,1.45322,0.36548,0.32324,0.19185,0.11652,0.36916,0.26647,0.16589,0.16458,1.80212,0.93011,0.37061,2.14353,1.49975,0.000994304,0.000994304,0.000994304
31,90.2323,1.63146,0.13859,0.40232,1.65822,1.35996,0.40098,0.31147,0.18176,0.10107,0.37962,0.28559,0.15944,0.15821,1.8667,0.91941,0.3595,2.13343,1.56442,0.000993906,0.000993906,0.000993906
32,93.0832,1.61337,0.10483,0.3978,1.67157,1.34706,0.34025,0.37912,0.18083,0.11306,0.54423,0.19355,0.15387,0.15286,1.76292,0.9268,0.36067,2.11434,1.55448,0.000993494,0.000993494,0.000993494
33,95.9205,1.59984,0.20374,0.47558,1.73559,1.38337,0.17033,0.38812,0.21486,0.13637,0.17098,0.35148,0.18334,0.1822,1.69868,0.92658,0.35536,2.026,1.52351,0.000993068,0.000993068,0.000993068
34,98.7758,1.61329,0.10384,0.41011,1.63985,1.41587,0.49663,0.31824,0.22899,0.1242,0.49574,0.30647,0.16689,0.16579,1.78694,0.93693,0.36285,2.02224,1.55241,0.000992629,0.000992629,0.000992629
35,101.683,1.54819,0.07687,0.4407,1.73138,1.35374,0.51388,0.36235,0.21077,0.10968,0.31166,0.30059,0.14437,0.14335,1.78484,0.93661,0.36857,2.098,1.53772,0.000992177,0.000992177,0.000992177
36,104.614,1.55463,0.10323,0.41749,1.71509,1.32346,0.49101,0.22341,0.19371,0.11209,0.47557,0.19059,0.13552,0.13462,1.83315,0.92729,0.3726,2.27469,1.53029,0.000991711,0.000991711,0.000991711
37,107.474,1.56998,0.14707,0.50754,1.78642,1.3364,0.46596,0.22882,0.24983,0.12731,0.39092,0.19706,0.20546,0.20343,1.7368,0.92933,0.35948,1.97593,1.52231,0.000991232,0.000991232,0.000991232
38,110.358,1.57236,0.10674,0.41192,1.8509,1.35579,0.43003,0.22882,0.25946,0.12932,0.34755,0.24559,0.21423,0.21219,1.81255,0.92632,0.36209,1.97672,1.53456,0.00099074,0.00099074,0.00099074
39,113.234,1.56276,0.10708,0.42969,1.70697,1.37813,0.51052,0.22938,0.29323,0.19332,0.37008,0.23971,0.21597,0.21297,1.75515,0.92546,0.37419,2.08864,1.46541,0.000990234,0.000990234,0.000990234
