epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,837.83,0.86859,0.8343,1.34676,0.85521,0.91283,0.93032,0.76295,0.7528,0.68794,1.26147,0.0008647,0.0008647,0.0008647
43,857.195,0.86833,0.82575,1.35044,0.85772,0.87273,0.91468,0.70676,0.86735,0.75251,1.3407,0.0008614,0.0008614,0.0008614
44,876.357,0.86284,0.81756,1.34913,0.88222,0.88527,0.90893,0.72242,0.80666,0.71157,1.27902,0.0008581,0.0008581,0.0008581
45,895.742,0.84912,0.81834,1.33883,0.89416,0.9,0.92375,0.73886,0.74888,0.67212,1.26675,0.0008548,0.0008548,0.0008548
46,916.082,0.85699,0.82728,1.3439,0.88268,0.90909,0.8987,0.70958,0.78533,0.68626,1.28501,0.0008515,0.0008515,0.0008515
47,935.355,0.83471,0.8152,1.32387,0.90374,0.9,0.89712,0.72223,0.78337,0.68626,1.28238,0.0008482,0.0008482,0.0008482
48,954.676,0.82083,0.79094,1.30301,0.89417,0.89091,0.8971,0.71559,0.7901,0.73165,1.28608,0.0008449,0.0008449,0.0008449
49,974.768,0.83527,0.7894,1.3206,0.92075,0.89091,0.91572,0.74407,0.76718,0.63876,1.28116,0.0008416,0.0008416,0.0008416
50,994.205,0.81219,0.78274,1.31369,0.90758,0.8928,0.90777,0.72491,0.77206,0.66465,1.28366,0.0008383,0.0008383,0.0008383
51,1013.84,0.81012,0.79954,1.29799,0.92499,0.89692,0.91233,0.74564,0.7571,0.61774,1.29946,0.000835,0.000835,0.000835
52,1033.64,0.81521,0.78694,1.30655,0.93305,0.8869,0.9317,0.73306,0.79348,0.62795,1.30605,0.0008317,0.0008317,0.0008317
53,1053.27,0.8151,0.79431,1.31858,0.91566,0.87273,0.91942,0.70881,0.84377,0.64477,1.34791,0.0008284,0.0008284,0.0008284
54,1073,0.7944,0.77089,1.29583,0.92391,0.88313,0.9046,0.73726,0.74125,0.63204,1.26204,0.0008251,0.0008251,0.0008251
55,1092.69,0.77458,0.76156,1.27351,0.84627,0.9008,0.89338,0.71062,0.77646,0.72358,1.29234,0.0008218,0.0008218,0.0008218
56,1112.31,0.79249,0.75867,1.28969,0.89802,0.90909,0.92184,0.72689,0.76166,0.67794,1.27205,0.0008185,0.0008185,0.0008185
57,1131.93,0.77647,0.74877,1.27149,0.92117,0.84993,0.91726,0.73272,0.7775,0.70649,1.2745,0.0008152,0.0008152,0.0008152
58,1151.37,0.75942,0.73938,1.25448,0.90572,0.87273,0.90851,0.73828,0.76313,0.67906,1.30968,0.0008119,0.0008119,0.0008119
59,1170.69,0.75774,0.73917,1.25852,0.90395,0.8556,0.90442,0.75094,0.69267,0.70037,1.2053,0.0008086,0.0008086,0.0008086
60,1189.94,0.76434,0.73677,1.25704,0.89836,0.88383,0.92954,0.75039,0.75423,0.65064,1.27876,0.0008053,0.0008053,0.0008053
61,1209.87,0.75705,0.72809,1.25012,0.92168,0.9,0.89955,0.73313,0.71608,0.64843,1.24103,0.000802,0.000802,0.000802
62,1230.26,0.76186,0.73792,1.2582,0.95189,0.89929,0.93583,0.7524,0.71117,0.60232,1.22977,0.0007987,0.0007987,0.0007987
63,1249.89,0.73774,0.71176,1.23488,0.92353,0.87838,0.9266,0.74226,0.73296,0.6983,1.24759,0.0007954,0.0007954,0.0007954
64,1269.77,0.74378,0.71435,1.24247,0.89176,0.9,0.91895,0.76178,0.69562,0.60336,1.20279,0.0007921,0.0007921,0.0007921
65,1289.56,0.74336,0.70568,1.22735,0.92712,0.87273,0.93762,0.74121,0.74444,0.66049,1.2302,0.0007888,0.0007888,0.0007888
66,1309.01,0.7204,0.69527,1.21392,0.92973,0.89091,0.94095,0.74574,0.7705,0.6011,1.27347,0.0007855,0.0007855,0.0007855
67,1328.47,0.72617,0.70578,1.22732,0.90658,0.87273,0.91503,0.75296,0.71185,0.63275,1.20875,0.0007822,0.0007822,0.0007822
68,1347.86,0.7107,0.70207,1.20824,0.93254,0.9,0.92331,0.76354,0.69928,0.58067,1.20666,0.0007789,0.0007789,0.0007789
69,1367.35,0.73203,0.69451,1.21631,0.89297,0.89091,0.91433,0.74368,0.71661,0.63487,1.24048,0.0007756,0.0007756,0.0007756
70,1386.96,0.72261,0.69609,1.22254,0.93315,0.8883,0.92458,0.7539,0.7495,0.58217,1.29102,0.0007723,0.0007723,0.0007723
71,1406.5,0.72908,0.68403,1.23938,0.94262,0.89616,0.92835,0.76212,0.69471,0.59783,1.23949,0.000769,0.000769,0.000769
72,1426.03,0.70303,0.67983,1.20243,0.92648,0.89091,0.9233,0.77095,0.67217,0.5485,1.20662,0.0007657,0.0007657,0.0007657
73,1445.99,0.70835,0.67202,1.19626,0.93522,0.84545,0.92193,0.76217,0.67465,0.64586,1.18882,0.0007624,0.0007624,0.0007624
74,1465.67,0.68914,0.66519,1.19083,0.94343,0.90971,0.94334,0.76111,0.71882,0.56486,1.279,0.0007591,0.0007591,0.0007591
75,1485.45,0.68302,0.64989,1.19518,0.92884,0.89091,0.93184,0.76745,0.70165,0.58936,1.24109,0.0007558,0.0007558,0.0007558
76,1505.01,0.6869,0.65708,1.18677,0.92892,0.82727,0.92294,0.7518,0.68841,0.62911,1.22161,0.0007525,0.0007525,0.0007525
77,1525.39,0.68624,0.65158,1.18615,0.87521,0.90909,0.9152,0.73344,0.70343,0.6172,1.23444,0.0007492,0.0007492,0.0007492
78,1544.89,0.69035,0.63532,1.17644,0.93118,0.88182,0.92199,0.75668,0.74059,0.57141,1.29356,0.0007459,0.0007459,0.0007459
79,1564.3,0.67218,0.63003,1.17011,0.90048,0.90482,0.93153,0.75262,0.71255,0.60902,1.25483,0.0007426,0.0007426,0.0007426
80,1583.76,0.66731,0.62735,1.16873,0.90779,0.89091,0.933,0.77051,0.68937,0.58637,1.2616,0.0007393,0.0007393,0.0007393
81,1603.31,0.66726,0.6215,1.1628,0.89439,0.84545,0.90961,0.74617,0.71077,0.64429,1.18909,0.000736,0.000736,0.000736
82,1622.64,0.6872,0.6485,1.17626,0.91475,0.87793,0.91621,0.7656,0.67543,0.57488,1.19147,0.0007327,0.0007327,0.0007327
83,1642.24,0.66235,0.61242,1.15482,0.95191,0.89971,0.93932,0.7688,0.71839,0.57379,1.24249,0.0007294,0.0007294,0.0007294
84,1661.81,0.65589,0.60927,1.14777,0.92036,0.9,0.93398,0.78,0.66807,0.57121,1.19311,0.0007261,0.0007261,0.0007261
85,1681.93,0.6484,0.60298,1.14744,0.90893,0.9073,0.91204,0.76224,0.75677,0.55636,1.3325,0.0007228,0.0007228,0.0007228
86,1701.77,0.65477,0.61221,1.1594,0.90668,0.92727,0.91814,0.76429,0.72239,0.49291,1.30848,0.0007195,0.0007195,0.0007195
87,1721.31,0.6439,0.60452,1.14209,0.95225,0.90654,0.95044,0.78187,0.69319,0.53014,1.22042,0.0007162,0.0007162,0.0007162
88,1740.92,0.63881,0.59459,1.14324,0.8202,0.91235,0.91329,0.7471,0.69871,0.637,1.22526,0.0007129,0.0007129,0.0007129
89,1760.3,0.63895,0.59516,1.13796,0.90731,0.87273,0.92617,0.75888,0.72082,0.60366,1.2276,0.0007096,0.0007096,0.0007096
90,1779.67,0.6351,0.58202,1.1419,0.83563,0.92433,0.9377,0.77997,0.69022,0.58347,1.20048,0.0007063,0.0007063,0.0007063
91,1799.15,0.637,0.58422,1.14035,0.87863,0.86364,0.89524,0.7364,0.73778,0.63896,1.27362,0.000703,0.000703,0.000703
92,1819.42,0.64903,0.5897,1.13872,0.90162,0.91647,0.91161,0.77375,0.64151,0.56861,1.16969,0.0006997,0.0006997,0.0006997
93,1838.88,0.62575,0.56749,1.11898,0.88186,0.88219,0.91885,0.75837,0.74138,0.5755,1.29377,0.0006964,0.0006964,0.0006964
94,1858.73,0.63303,0.58022,1.13416,0.89105,0.89222,0.91811,0.76645,0.68049,0.57282,1.1859,0.0006931,0.0006931,0.0006931
95,1878.25,0.63047,0.56687,1.12407,0.91118,0.88182,0.92628,0.77633,0.63315,0.56796,1.13542,0.0006898,0.0006898,0.0006898
96,1897.83,0.61898,0.54765,1.1172,0.88708,0.94545,0.9349,0.77991,0.65804,0.54544,1.18811,0.0006865,0.0006865,0.0006865
97,1917.55,0.6106,0.55822,1.10834,0.92376,0.91818,0.95157,0.78764,0.66373,0.56847,1.17524,0.0006832,0.0006832,0.0006832
98,1937.14,0.61105,0.53878,1.10995,0.90438,0.85987,0.92259,0.76232,0.68927,0.63512,1.22152,0.0006799,0.0006799,0.0006799
99,1956.63,0.61118,0.54586,1.11645,0.92872,0.9,0.94403,0.79816,0.64033,0.53428,1.16363,0.0006766,0.0006766,0.0006766
100,1976.1,0.60786,0.54605,1.10798,0.88304,0.9,0.92191,0.77079,0.65052,0.55192,1.19302,0.0006733,0.0006733,0.0006733
101,1995.66,0.60601,0.54612,1.10786,0.92722,0.89091,0.9279,0.76467,0.68206,0.55894,1.22536,0.00067,0.00067,0.00067
102,2015.38,0.60253,0.56249,1.10809,0.85413,0.90494,0.92292,0.76992,0.65826,0.57466,1.21031,0.0006667,0.0006667,0.0006667
103,2035.26,0.60859,0.53939,1.11667,0.93517,0.91799,0.93702,0.7728,0.66913,0.52422,1.17498,0.0006634,0.0006634,0.0006634
104,2055.09,0.60632,0.5286,1.11016,0.95103,0.91818,0.93741,0.77744,0.6876,0.52943,1.25246,0.0006601,0.0006601,0.0006601
105,2074.71,0.58855,0.52301,1.09677,0.91657,0.93636,0.94821,0.78908,0.6464,0.53918,1.1971,0.0006568,0.0006568,0.0006568
106,2094.97,0.58103,0.50494,1.08478,0.85803,0.91818,0.91095,0.76079,0.63189,0.58379,1.16006,0.0006535,0.0006535,0.0006535
107,2117.34,0.5764,0.50287,1.08635,0.93685,0.94411,0.94714,0.78864,0.63792,0.50421,1.18357,0.0006502,0.0006502,0.0006502
108,2137.55,0.57881,0.51345,1.07362,0.90482,0.95071,0.94426,0.77505,0.67566,0.52,1.19954,0.0006469,0.0006469,0.0006469
109,2157.51,0.57844,0.4964,1.08178,0.937,0.9,0.95334,0.7897,0.65382,0.53196,1.2157,0.0006436,0.0006436,0.0006436
110,2177.9,0.57902,0.4914,1.07547,0.93752,0.93636,0.95341,0.78138,0.69371,0.51329,1.25313,0.0006403,0.0006403,0.0006403
111,2197.79,0.57324,0.49259,1.07499,0.91165,0.93809,0.95775,0.78717,0.66803,0.51658,1.21414,0.000637,0.000637,0.000637
112,2217.93,0.57419,0.49358,1.07072,0.94413,0.9218,0.94926,0.78195,0.66276,0.51813,1.21571,0.0006337,0.0006337,0.0006337
113,2239.6,0.58187,0.51217,1.07994,0.89672,0.93636,0.95423,0.79343,0.64312,0.50239,1.17078,0.0006304,0.0006304,0.0006304
114,2267.85,0.57029,0.49078,1.06846,0.92349,0.93636,0.95619,0.79305,0.66787,0.52256,1.21503,0.0006271,0.0006271,0.0006271
115,2289.2,0.55673,0.461,1.05813,0.93744,0.91818,0.95801,0.78736,0.70145,0.51075,1.22708,0.0006238,0.0006238,0.0006238
116,2310.39,0.56461,0.48363,1.06753,0.92674,0.89091,0.94525,0.77736,0.68534,0.52891,1.21565,0.0006205,0.0006205,0.0006205
117,2332.33,0.5475,0.46085,1.04756,0.91907,0.82597,0.92511,0.78037,0.63926,0.57757,1.16013,0.0006172,0.0006172,0.0006172
118,2353.8,0.5562,0.4752,1.05748,0.94424,0.92727,0.95253,0.79403,0.63591,0.5176,1.17462,0.0006139,0.0006139,0.0006139
119,2374.27,0.5564,0.4701,1.05569,0.92592,0.94545,0.95285,0.76959,0.6704,0.53527,1.21721,0.0006106,0.0006106,0.0006106
120,2393.85,0.54641,0.45933,1.05373,0.88556,0.91456,0.925,0.78205,0.64369,0.54043,1.19127,0.0006073,0.0006073,0.0006073
121,2416.41,0.55038,0.47339,1.05203,0.93928,0.89091,0.94843,0.79439,0.64377,0.48834,1.16118,0.000604,0.000604,0.000604
122,2437.18,0.54947,0.46833,1.05526,0.94456,0.93636,0.94206,0.76897,0.71776,0.46865,1.25575,0.0006007,0.0006007,0.0006007
123,2457.48,0.5396,0.45574,1.04527,0.89121,0.92727,0.93449,0.77854,0.68996,0.53807,1.22194,0.0005974,0.0005974,0.0005974
124,2477.14,0.55056,0.46511,1.05088,0.91034,0.95455,0.95937,0.79548,0.72193,0.47826,1.28141,0.0005941,0.0005941,0.0005941
125,2496.58,0.5433,0.45264,1.04251,0.9422,0.92727,0.9513,0.79288,0.6731,0.525,1.23839,0.0005908,0.0005908,0.0005908
126,2516.15,0.53118,0.44292,1.04018,0.94202,0.95455,0.95205,0.79098,0.64336,0.49799,1.1721,0.0005875,0.0005875,0.0005875
127,2535.84,0.53642,0.45103,1.03937,0.91162,0.93769,0.93718,0.77821,0.66547,0.52892,1.17601,0.0005842,0.0005842,0.0005842
128,2556.09,0.5325,0.44011,1.03764,0.87909,0.92727,0.9187,0.7614,0.69457,0.52973,1.23124,0.0005809,0.0005809,0.0005809
129,2577.71,0.53307,0.43464,1.03628,0.87432,0.88542,0.93339,0.78429,0.6199,0.57669,1.14746,0.0005776,0.0005776,0.0005776
130,2598.77,0.52021,0.43674,1.02325,0.88482,0.9,0.91252,0.77657,0.65146,0.51147,1.21769,0.0005743,0.0005743,0.0005743
131,2619.01,0.51728,0.43705,1.03662,0.92919,0.90909,0.9479,0.82243,0.58794,0.48887,1.10846,0.000571,0.000571,0.000571
132,2639.13,0.52273,0.42623,1.03501,0.93683,0.94545,0.95139,0.80207,0.61743,0.49728,1.15606,0.0005677,0.0005677,0.0005677
133,2660.45,0.5318,0.44453,1.03605,0.93491,0.95455,0.95802,0.79948,0.64998,0.50538,1.18056,0.0005644,0.0005644,0.0005644
134,2680.32,0.52021,0.42508,1.02199,0.93352,0.93636,0.94883,0.80717,0.61432,0.5249,1.16161,0.0005611,0.0005611,0.0005611
135,2700.04,0.52787,0.4288,1.02953,0.91053,0.92514,0.95257,0.81395,0.59578,0.50271,1.11712,0.0005578,0.0005578,0.0005578
136,2721.36,0.50227,0.40071,1.01589,0.89182,0.94545,0.93052,0.79091,0.65509,0.50858,1.19658,0.0005545,0.0005545,0.0005545
137,2742.45,0.52386,0.41869,1.02827,0.88117,0.9,0.91988,0.75848,0.67125,0.58364,1.21604,0.0005512,0.0005512,0.0005512
138,2763.72,0.5182,0.43181,1.02492,0.92842,0.94545,0.95288,0.81015,0.65361,0.48118,1.19538,0.0005479,0.0005479,0.0005479
139,2785.18,0.50742,0.41026,1.01464,0.93441,0.90662,0.9551,0.79959,0.6322,0.48807,1.16739,0.0005446,0.0005446,0.0005446
140,2809.97,0.50649,0.39718,1.00323,0.93849,0.9,0.94977,0.7861,0.674,0.50445,1.22168,0.0005413,0.0005413,0.0005413
