confidence,recall,precision
0.9618094563484192,0.0009532888465204957,1.0
0.9566667079925537,0.012392755004766444,1.0
0.9547222256660461,0.023832221163012392,1.0
0.9525870680809021,0.03527168732125834,1.0
0.9510963559150696,0.04671115347950429,1.0
0.9501522779464722,0.058150619637750235,1.0
0.9482219219207764,0.06959008579599618,1.0
0.9474473595619202,0.08102955195424213,1.0
0.9465386867523193,0.09246901811248809,1.0
0.9450376629829407,0.10486177311725453,1.0
0.943118691444397,0.11630123927550047,1.0
0.942175030708313,0.12774070543374644,1.0
0.9404869675636292,0.13918017159199236,1.0
0.9392459988594055,0.15061963775023832,1.0
0.9385717511177063,0.16205910390848427,1.0
0.937212347984314,0.17349857006673022,1.0
0.9361282587051392,0.18589132507149667,1.0
0.9347381591796875,0.19733079122974262,1.0
0.9324009418487549,0.20972354623450906,1.0
0.9305621385574341,0.22116301239275502,1.0
0.929163932800293,0.23260247855100094,1.0
0.9274052381515503,0.2440419447092469,1.0
0.9258195161819458,0.2554814108674929,1.0
0.924142062664032,0.2669208770257388,1.0
0.921298623085022,0.2783603431839847,1.0
0.9197585582733154,0.2897998093422307,1.0
0.9177015423774719,0.30123927550047663,1.0
0.9153440594673157,0.3136320305052431,1.0
0.9124086499214172,0.32507149666348906,1.0
0.9102268218994141,0.336510962821735,1.0
0.9073308110237122,0.3479504289799809,1.0
0.9054000377655029,0.3593898951382269,1.0
0.9024555087089539,0.3708293612964728,1.0
0.8994505405426025,0.3822688274547188,1.0
0.8973515033721924,0.3937082936129647,1.0
0.8934239149093628,0.4051477597712107,1.0
0.8903570771217346,0.41754051477597715,1.0
0.8881909251213074,0.42897998093422307,1.0
0.8849651217460632,0.440419447092469,1.0
0.8789972066879272,0.451858913250715,1.0
0.874305784702301,0.4632983794089609,1.0
0.8708564639091492,0.4747378455672069,1.0
0.866053581237793,0.4852240228789323,0.9980392156862745
0.8614944815635681,0.4966634890371783,0.9980842911877394
0.8576492071151733,0.5081029551954243,0.99812734082397
0.8533630967140198,0.5204957102001907,0.9981718464351006
0.8482679724693298,0.5309818875119161,0.9964221824686941
0.8426348567008972,0.5414680648236415,0.9947460595446584
0.8350605368614197,0.5529075309818875,0.9948542024013722
0.8249327540397644,0.5643469971401335,0.9949579831932773
0.8124375343322754,0.5757864632983795,0.9950576606260296
0.806732714176178,0.5872259294566253,0.9951534733441034
0.8009055256843567,0.5977121067683508,0.993660855784469
0.7925012707710266,0.6062917063870352,0.9891135303265941
0.7776660323143005,0.6186844613918017,0.989329268292683
0.7609298229217529,0.6291706387035272,0.9880239520958084
0.7419424057006836,0.6406101048617732,0.9882352941176471
0.7284984588623047,0.6501429933269781,0.9855491329479769
0.7147751450538635,0.6606291706387035,0.984375
0.7008019685745239,0.669208770257388,0.9804469273743017
0.6866337060928345,0.6768350810295519,0.9752747252747253
0.6731439232826233,0.6873212583412774,0.9743243243243244
0.6501039266586304,0.6978074356530028,0.973404255319149
0.6056542992591858,0.7073403241182078,0.9699346405228758
0.590507447719574,0.7130600571973308,0.9626769626769627
0.5617844462394714,0.7178265014299333,0.9543726235741445
