confidence,recall,precision
0.9619356393814087,0.0009532888465204957,1.0
0.9556155800819397,0.030505243088655862,1.0
0.9527850151062012,0.061010486177311724,1.0
0.950944721698761,0.0905624404194471,1.0
0.9491798281669617,0.12106768350810296,1.0
0.9472032785415649,0.1515729265967588,1.0
0.9452891945838928,0.1811248808388942,1.0
0.9430723190307617,0.21163012392755004,1.0
0.9408378005027771,0.24213536701620592,1.0
0.9389446377754211,0.2716873212583413,1.0
0.9369602799415588,0.30219256434699715,1.0
0.9340946674346924,0.3336510962821735,1.0
0.9305621385574341,0.36320305052430885,1.0
0.9268123507499695,0.3937082936129647,1.0
0.9214338064193726,0.4232602478551001,1.0
0.9158958196640015,0.45281220209723544,0.9978991596638656
0.9083591103553772,0.4833174451858913,0.9980314960629921
0.9018213748931885,0.5128693994280267,0.9981447124304267
0.8942258358001709,0.5424213536701621,0.9964973730297724
0.8830735683441162,0.5710200190657769,0.9933665008291874
0.8713052868843079,0.5986653956148713,0.9905362776025236
0.8581988215446472,0.6263107721639657,0.9864864864864865
0.8450339436531067,0.6510962821734986,0.9785100286532952
0.8287492990493774,0.678741658722593,0.9766803840877915
0.8097854852676392,0.7016205910390848,0.9671484888304862
0.7882700562477112,0.7168732125834127,0.9494949494949495
0.7543568015098572,0.7378455672068637,0.9393203883495146
0.7231888175010681,0.7578646329837941,0.9287383177570093
0.7037453651428223,0.7797902764537655,0.9222096956031567
0.6465088129043579,0.7959961868446139,0.9085963003264418
0.6056542992591858,0.8093422306959008,0.8927444794952681
0.5697364807128906,0.8198284080076264,0.8757637474541752
0.5112082958221436,0.8312678741658722,0.8599605522682445
0.4739559590816498,0.8408007626310772,0.8432122370936902
0.43330490589141846,0.8484270734032412,0.8263695450324977
0.39461877942085266,0.8551000953288846,0.8088367899008115
0.36885103583335876,0.8589132507149666,0.78965819456617
0.3401501476764679,0.86558627264061,0.7747440273037542
0.31053426861763,0.8703527168732126,0.7583056478405316
0.2854011058807373,0.8751191611058151,0.7433198380566801
0.26036110520362854,0.8789323164918971,0.7277032359905288
0.23846405744552612,0.882745471877979,0.7128560431100847
0.2197066843509674,0.8846520495710201,0.6977443609022557
0.20177817344665527,0.8856053384175405,0.6820851688693098
0.1894562691450119,0.8913250714966635,0.6707317073170732
0.17718960344791412,0.8932316491897044,0.6575438596491228
0.16633953154087067,0.8951382268827455,0.6444749485243652
0.1566249132156372,0.8960915157292659,0.6312961719274681
0.14792132377624512,0.8970448045757865,0.6190789473684211
0.1400003284215927,0.8989513822688274,0.6076030927835051
0.13243331015110016,0.899904671115348,0.5963360707517372
0.12267458438873291,0.9027645376549094,0.5863777089783282
0.11400734633207321,0.9027645376549094,0.5749848208864602
0.10703306645154953,0.9046711153479504,0.5655542312276519
0.10163743048906326,0.9046711153479504,0.5549707602339181
0.09719189256429672,0.9046711153479504,0.5447761194029851
0.09332939982414246,0.9065776930409915,0.5363790186125211
0.08984846621751785,0.9065776930409915,0.5268698060941829
0.08528729528188705,0.9075309818875119,0.5182362547632009
0.08054216206073761,0.9084842707340324,0.5101713062098501
0.07780653238296509,0.9084842707340324,0.501578947368421
0.07464437186717987,0.909437559580553,0.4937888198757764
0.07190944254398346,0.909437559580553,0.4859908303616913
0.06970371305942535,0.909437559580553,0.4781954887218045
0.06687486171722412,0.9113441372735939,0.47186574531095754
0.06481404602527618,0.9122974261201144,0.4650145772594752
0.06185873597860336,0.9132507149666349,0.4583732057416268
0.06011364609003067,0.9142040038131554,0.4521452145214521
0.05852929502725601,0.9170638703527169,0.44681839294008363
0.05692676454782486,0.9180171591992373,0.44073226544622424
0.055089812725782394,0.9180171591992373,0.4345667870036101
0.05348106101155281,0.9180171591992373,0.42838078291814946
0.05184512585401535,0.9180171591992373,0.42236842105263156
0.05020700395107269,0.9180171591992373,0.4167027260926006
0.048246510326862335,0.9180171591992373,0.41101152368758004
0.046914733946323395,0.9189704480457579,0.4060657118786858
0.04555561766028404,0.9189704480457579,0.400665004156276
0.04387509077787399,0.9199237368922784,0.39581624282198524
0.042835917323827744,0.9218303145853194,0.39165654110976106
0.04116104915738106,0.9246901811248809,0.38784486205517793
0.03992726281285286,0.9256434699714013,0.38333991314646665
0.03914525359869003,0.9256434699714013,0.3787051482059282
0.03824574500322342,0.9256434699714013,0.37403697996918334
0.03735412657260895,0.9256434699714013,0.369482496194825
0.03654065355658531,0.9256434699714013,0.3651748777735991
0.035794008523225784,0.9256434699714013,0.36083240431066516
0.03470468148589134,0.9256434699714013,0.3565919941241278
0.03396928682923317,0.9265967588179218,0.35294117647058826
0.033385761082172394,0.9275500476644424,0.3492462311557789
0.03281814977526665,0.9285033365109628,0.3457578984735534
0.03219155967235565,0.9294566253574833,0.34222534222534223
0.03145300969481468,0.9294566253574833,0.3384241582783756
0.030898166820406914,0.9304099142040038,0.33516483516483514
0.030430497601628304,0.9304099142040038,0.33152173913043476
0.02975280024111271,0.9313632030505243,0.3282930107526882
0.029072921723127365,0.9313632030505243,0.32490854672430997
0.028493093326687813,0.9313632030505243,0.32148733135899965
0.028048556298017502,0.9313632030505243,0.3181374145229567
0.027500836178660393,0.9313632030505243,0.31495809155383625
0.026994753628969193,0.9313632030505243,0.31174218251435865
0.026628365740180016,0.9313632030505243,0.30868878357030016
0.02599889598786831,0.9313632030505243,0.30559899906162025
0.025415239855647087,0.9313632030505243,0.3025704552493032
0.025011740624904633,0.9313632030505243,0.2996932515337423
0.024640332907438278,0.9313632030505243,0.2967800729040097
0.024158792570233345,0.9323164918970448,0.29422382671480146
0.02367505058646202,0.9323164918970448,0.29150521609538005
0.02329016663134098,0.9332697807435653,0.289046353705344
0.02287161350250244,0.9332697807435653,0.28634103539046507
0.022478479892015457,0.9332697807435653,0.283768115942029
0.02212618850171566,0.9332697807435653,0.2811602527283171
0.021849917247891426,0.9332697807435653,0.2785998861696073
0.021510323509573936,0.9332697807435653,0.276163610719323
0.021168651059269905,0.9332697807435653,0.27369303885937935
0.020844092592597008,0.9332697807435653,0.27134146341463417
0.020547421649098396,0.9332697807435653,0.26895604395604394
0.020153295248746872,0.9332697807435653,0.26661220043572986
0.019920915365219116,0.9332697807435653,0.2643802322441264
0.01967543549835682,0.9332697807435653,0.2621151271753681
0.019373314455151558,0.9332697807435653,0.25988850544199626
0.019142065197229385,0.9332697807435653,0.2577672459189047
0.01895293779671192,0.9332697807435653,0.2556135770234987
0.01868019811809063,0.9332697807435653,0.253495598135681
0.018404729664325714,0.9332697807435653,0.251477010017981
0.018139589577913284,0.9332697807435653,0.2494267515923567
0.017880355939269066,0.9332697807435653,0.2474721941354904
0.01762261986732483,0.9332697807435653,0.2454864593781344
0.017366254702210426,0.9332697807435653,0.24353233830845772
0.017191551625728607,0.9332697807435653,0.24166872377190818
0.016962936148047447,0.9342230695900858,0.24001959343619889
0.016717158257961273,0.9342230695900858,0.23815309842041313
0.01649656519293785,0.9342230695900858,0.2363724071394115
0.01627066358923912,0.9342230695900858,0.23456199138343706
0.016054516658186913,0.9342230695900858,0.2327790973871734
0.015844469889998436,0.9342230695900858,0.231077576043386
0.015661140903830528,0.9342230695900858,0.2293470629534285
0.015506263822317123,0.9342230695900858,0.22769516728624536
0.015341532416641712,0.9342230695900858,0.22601476014760147
0.015184963122010231,0.9342230695900858,0.22435897435897437
0.014991378411650658,0.9342230695900858,0.2227779040691066
0.01484680362045765,0.9342230695900858,0.2211690363349131
0.01465218048542738,0.9342230695900858,0.21958323997311224
0.014455828815698624,0.9351763584366063,0.21829105473965288
0.014297296293079853,0.9351763584366063,0.2167476800707026
0.01409686915576458,0.9351763584366063,0.2152259763053971
0.013935120776295662,0.9351763584366063,0.21377206363042056
0.013799145817756653,0.9351763584366063,0.2122917117507033
0.013590056449174881,0.9351763584366063,0.21083172147001933
0.01344342716038227,0.9351763584366063,0.20943637916310845
0.013296474702656269,0.9351763584366063,0.20801526717557253
0.01316522154957056,0.9351763584366063,0.20665683589635558
0.013015049509704113,0.9351763584366063,0.20527306967984935
0.01283551100641489,0.9351763584366063,0.2039077114944918
0.012706131674349308,0.9361296472831268,0.20280875671210244
0.01255125179886818,0.9361296472831268,0.20147722609766106
0.012395229190587997,0.9361296472831268,0.20016306563391764
0.012238898314535618,0.9361296472831268,0.19890621835122543
0.012081763707101345,0.9361296472831268,0.19762527671563695
0.012001889757812023,0.9361296472831268,0.19636072785442912
0.011902326717972755,0.9361296472831268,0.1951510333863275
0.011794565245509148,0.9361296472831268,0.19391785150078988
0.011682657524943352,0.9370829361296473,0.1929342492639843
