epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,1948.62,1.12759,1.81775,0.861,1.42598,0,0.76062,0.50392,0.55918,0.3567,0.75129,0.49058,0.53828,0.31718,1.77124,2.69195,1.41013,2.17478,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2032.01,1.12576,1.82343,0.85381,1.4155,0,0.80814,0.63091,0.71633,0.45288,0.79981,0.6232,0.70095,0.42129,1.41179,2.32265,1.25269,1.77617,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2115.45,1.12274,1.78754,0.82616,1.40952,0,0.84549,0.67643,0.77513,0.51282,0.83966,0.65352,0.75209,0.46458,1.31735,2.19612,1.22779,1.68138,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2205.87,1.11458,1.78758,0.83121,1.42022,0,0.72613,0.46431,0.52113,0.26193,0.7221,0.45955,0.51644,0.2431,2.01875,2.94355,1.71904,2.35663,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2290.49,1.10215,1.77604,0.81269,1.39919,0,0.7705,0.51202,0.58489,0.34898,0.7615,0.5042,0.57386,0.32044,1.72049,2.66652,1.53395,2.06075,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,2375.13,1.10193,1.76154,0.81244,1.39854,0,0.83774,0.65565,0.7362,0.43317,0.83638,0.64888,0.72459,0.39734,1.5601,2.44465,1.24313,1.90273,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,2458.13,1.09757,1.76195,0.81544,1.39943,0,0.79143,0.588,0.67308,0.40223,0.79357,0.57785,0.6657,0.37567,1.59088,2.43725,1.38824,1.93034,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,2541.04,1.08649,1.74534,0.80386,1.39609,0,0.816,0.62134,0.70557,0.46625,0.8117,0.6109,0.69101,0.42573,1.40359,2.3494,1.32737,1.764,0,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,2625.61,1.09,1.75275,0.7835,1.39693,0,0.82323,0.58481,0.6729,0.44277,0.81716,0.56886,0.65413,0.40667,1.47106,2.44212,1.25803,1.83861,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,2708.98,1.08542,1.72511,0.78671,1.39346,0,0.80956,0.62424,0.71354,0.46192,0.80326,0.61676,0.70008,0.42834,1.40346,2.28959,1.28161,1.74962,0,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
