epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,1852.55,1.07888,1.72102,0.77049,1.38863,0,0.85319,0.74862,0.828,0.51642,0.84103,0.73473,0.80926,0.467,1.38193,2.23275,0.95703,1.75005,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,1931.36,1.07135,1.71804,0.76557,1.37606,0,0.83553,0.68637,0.78394,0.49465,0.82646,0.67034,0.76213,0.44995,1.40348,2.2526,1.03375,1.74991,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2010.97,1.06223,1.66345,0.74151,1.36456,0,0.84786,0.73518,0.82403,0.5137,0.84857,0.72253,0.81031,0.46582,1.43091,2.28584,0.95062,1.79825,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2087.33,1.05508,1.67369,0.74236,1.37259,0,0.84229,0.6906,0.78007,0.49264,0.83627,0.68567,0.76691,0.44769,1.41415,2.28235,1.05234,1.7734,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2163.27,1.04371,1.66046,0.73727,1.35113,0,0.84534,0.68144,0.77487,0.49976,0.83925,0.67498,0.76633,0.46338,1.35332,2.22465,1.06641,1.7261,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,2241.11,1.04286,1.66154,0.73076,1.35365,0,0.85448,0.7559,0.83473,0.52424,0.84731,0.74653,0.81682,0.47161,1.37536,2.32471,0.91114,1.73963,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,2319.86,1.04226,1.64329,0.72854,1.35361,0,0.86483,0.74775,0.84029,0.55304,0.85966,0.73882,0.83067,0.51443,1.28939,2.07915,0.93727,1.66147,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,2396.73,1.03512,1.63276,0.72524,1.35506,0,0.85829,0.74456,0.83682,0.52955,0.8262,0.74601,0.82017,0.48302,1.34937,2.16197,0.93408,1.72689,0,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,2473.48,1.02839,1.62322,0.70805,1.348,0,0.85487,0.7156,0.80581,0.484,0.84573,0.70745,0.79085,0.44197,1.4882,2.45995,0.96876,1.8799,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,2550.3,1.03015,1.61522,0.70997,1.35054,0,0.84249,0.73905,0.83221,0.54924,0.84532,0.71905,0.81212,0.5082,1.28074,2.10301,0.9628,1.64523,0,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2627,1.00323,1.56149,0.68453,1.32173,0,0.85622,0.76863,0.84426,0.55194,0.84794,0.75508,0.82706,0.50417,1.2965,2.13784,0.9056,1.65611,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2704.04,1.00179,1.58616,0.68755,1.32629,0,0.86526,0.75355,0.83789,0.52235,0.85328,0.74311,0.82079,0.47396,1.38569,2.20048,0.87919,1.77796,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,2781.19,1.01299,1.58649,0.68793,1.33901,0,0.86052,0.75152,0.84081,0.53075,0.85603,0.743,0.82948,0.48965,1.35369,2.14954,0.89039,1.72576,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,2857.97,0.99387,1.54948,0.67799,1.32251,0,0.86878,0.78515,0.86388,0.55091,0.8594,0.77472,0.84719,0.5057,1.31904,2.12932,0.86263,1.69633,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,2935.23,0.98508,1.52254,0.65614,1.31039,0,0.87172,0.7118,0.81401,0.51838,0.86465,0.70049,0.79655,0.47913,1.38125,2.26125,0.98673,1.75156,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3012.33,0.99731,1.55878,0.67053,1.32086,0,0.8554,0.75181,0.83879,0.53097,0.84682,0.74427,0.82642,0.48698,1.36841,2.18922,0.90063,1.73657,0,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3089.39,0.98524,1.52931,0.66127,1.31243,0,0.85761,0.72398,0.8203,0.53805,0.84661,0.7147,0.80067,0.49817,1.30035,2.09719,0.94341,1.68212,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3166.55,0.97829,1.5278,0.651,1.30125,0,0.83745,0.68415,0.77591,0.50694,0.82966,0.6736,0.75927,0.46723,1.35366,2.2309,1.049,1.71521,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
