epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.784,2.32343,2.56925,2.17696,0.49995,0.40418,0.4208,0.18603,1.88858,2.38759,2.05704,0.00333044,0.00333044,0.070026
2,379.284,1.87014,2.06578,1.85834,0.58784,0.41258,0.47022,0.23235,1.83171,2.17531,1.94777,0.00664178,0.00664178,0.0400041
3,560.111,1.73195,1.84183,1.75489,0.64577,0.44796,0.50414,0.28392,1.54929,2.25099,1.75124,0.00993113,0.00993113,0.00996006
