epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,610.426,1.14657,5.10522,0.24465,1.08255,1.74906,0.91317,0.84821,0.8917,0.66119,0.72817,0.73214,0.65168,0.15818,0.90606,4.40865,0.06116,0.85095,1.59249,0.0009142,0.0009142,0.0009142
28,632.362,1.11279,5.0526,0.22836,1.04046,1.71572,0.93119,0.88393,0.91018,0.67453,0.78501,0.74982,0.65603,0.15728,0.94589,4.41603,0.06261,0.75208,1.59912,0.0009109,0.0009109,0.0009109
29,654.657,1.08717,4.98553,0.24336,1.04353,1.69098,0.8997,0.88103,0.91974,0.68236,0.76314,0.74796,0.61622,0.15255,0.9212,4.36404,0.06085,0.74266,1.5762,0.0009076,0.0009076,0.0009076
30,676.665,1.0694,5.05218,0.23466,1.01874,1.66921,0.91121,0.89286,0.92597,0.71195,0.75785,0.73214,0.67557,0.1794,0.87018,4.38482,0.06417,0.71694,1.5395,0.0009043,0.0009043,0.0009043
31,699.011,1.07817,5.00422,0.22768,1.02594,1.68654,0.89839,0.86838,0.91045,0.68813,0.69745,0.67857,0.53463,0.13281,0.87623,4.38442,0.06051,0.75375,1.54284,0.000901,0.000901,0.000901
32,721.076,1.06582,4.90873,0.22962,1.0269,1.65221,0.90787,0.87989,0.91575,0.69703,0.73418,0.6875,0.62239,0.17683,0.88498,4.32166,0.06565,0.75899,1.55285,0.0008977,0.0008977,0.0008977
33,742.734,1.04495,4.90027,0.23697,1.00566,1.63866,0.9105,0.86607,0.92936,0.72227,0.72102,0.72321,0.62022,0.15828,0.87017,4.39365,0.06118,0.73763,1.53189,0.0008944,0.0008944,0.0008944
34,764.426,1.06024,4.86588,0.24003,1.01331,1.6598,0.89198,0.88475,0.90544,0.69456,0.73198,0.72321,0.59435,0.14854,0.89102,4.33369,0.06155,0.74652,1.54375,0.0008911,0.0008911,0.0008911
35,787.269,1.0482,4.82246,0.23542,1.00314,1.63494,0.90812,0.88249,0.9129,0.70566,0.73026,0.70536,0.58054,0.14728,0.85915,4.31427,0.06193,0.68788,1.51627,0.0008878,0.0008878,0.0008878
36,809.385,1.04369,4.87127,0.24116,1.00541,1.6265,0.90409,0.88393,0.89173,0.67648,0.74481,0.72967,0.64001,0.16726,0.88667,4.35149,0.0627,0.73116,1.532,0.0008845,0.0008845,0.0008845
37,831.405,1.0416,4.84993,0.23384,1.00342,1.62048,0.91371,0.83929,0.90849,0.71099,0.75521,0.72321,0.67157,0.17738,0.82091,4.38254,0.066,0.76408,1.49889,0.0008812,0.0008812,0.0008812
38,853.349,1.01027,4.81581,0.22444,0.99693,1.61767,0.9165,0.88199,0.93386,0.70786,0.74957,0.72157,0.60506,0.15584,0.83064,4.32871,0.06641,0.71552,1.49997,0.0008779,0.0008779,0.0008779
39,875.37,1.01992,4.71338,0.23975,0.98856,1.62093,0.91179,0.85714,0.91257,0.7258,0.75143,0.75,0.67951,0.18962,0.80832,4.28896,0.05892,0.68594,1.47786,0.0008746,0.0008746,0.0008746
40,897.161,1.00264,4.70183,0.22902,0.96563,1.59661,0.9228,0.86607,0.91375,0.71495,0.74558,0.70536,0.67596,0.17042,0.82054,4.26325,0.06165,0.68821,1.49534,0.0008713,0.0008713,0.0008713
41,918.794,0.99383,4.78196,0.22738,0.9644,1.5879,0.92447,0.875,0.89176,0.69846,0.74978,0.70536,0.63793,0.16592,0.82615,4.29081,0.06274,0.77292,1.47199,0.000868,0.000868,0.000868
42,940.538,0.98884,4.72152,0.233,0.98476,1.57795,0.90018,0.88571,0.93371,0.71934,0.76598,0.73063,0.66564,0.19687,0.86611,4.3276,0.062,0.65808,1.52639,0.0008647,0.0008647,0.0008647
43,962.378,0.99125,4.71734,0.23277,0.97076,1.57776,0.91598,0.89286,0.92651,0.71281,0.78089,0.76786,0.71769,0.20774,0.8414,4.24819,0.06369,0.63955,1.4952,0.0008614,0.0008614,0.0008614
44,984.094,0.98329,4.68399,0.22667,0.93442,1.57744,0.90617,0.875,0.92429,0.7162,0.75179,0.73018,0.65853,0.19032,0.8522,4.28235,0.05891,0.64809,1.49338,0.0008581,0.0008581,0.0008581
45,1006.23,0.97601,4.69248,0.23727,0.95737,1.57684,0.92105,0.88393,0.93198,0.72634,0.75375,0.74107,0.67131,0.19702,0.80328,4.31127,0.06118,0.63595,1.47892,0.0008548,0.0008548,0.0008548
46,1028.57,0.9745,4.67997,0.23183,0.93913,1.55933,0.92495,0.88036,0.91979,0.71643,0.78385,0.74473,0.68057,0.18447,0.84055,4.28913,0.06678,0.71917,1.49467,0.0008515,0.0008515,0.0008515
47,1050.78,0.94491,4.59031,0.23807,0.9394,1.53852,0.90887,0.89051,0.92419,0.73272,0.74128,0.72321,0.59656,0.17647,0.81195,4.18828,0.06162,0.6253,1.45535,0.0008482,0.0008482,0.0008482
