epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.136,4.00842,0.0968,0.52584,5.06624,3.30291,0,0,0,0,0,0,0,0,3.58846,0,0.16354,4.7134,2.56883,0.000326241,0.000326241,0.0677021
2,26.5049,2.85409,0.0446,0.45002,3.16135,2.2224,0.04504,0.08956,0.016,0.00403,0,0,0,0,2.90531,0,0.2318,4.26886,2.24706,0.000659413,0.000659413,0.034702
3,38.5157,2.34573,0.03787,0.39748,2.55067,1.82526,0.30634,0.13081,0.07586,0.02573,0,0,0,0,2.2883,0,0.18818,3.41346,1.84017,0.000991938,0.000991938,0.00170116
4,50.6739,2.07949,0.01589,0.41744,2.33689,1.60025,0.194,0.33418,0.17013,0.07099,0,0,0,0,1.9737,0,0.22294,2.3169,1.57248,0.000997803,0.000997803,0.000997803
