epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,117.105,3.35498,5.63978,4.04876,4.16749,0,0.08763,0.02349,0.00906,0.0022,0.06797,0.01653,0.00462,0.00088,3.60191,12.1772,3.58751,5.17133,0,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176
2,225.308,2.47772,3.37703,2.78667,3.05258,0,0.37338,0.35692,0.2985,0.11206,0.34244,0.32734,0.26541,0.09211,2.21684,3.47768,4.26737,2.54114,0,0.0198994,0.00663313,0.0198994,0.00663313,0.0198994,0.00663313,0.0198994,0.00663313
3,332.806,1.91609,2.90078,1.96202,2.35648,0,0.5434,0.31168,0.356,0.16686,0.52806,0.2911,0.32093,0.14004,2.16033,3.23094,2.35194,2.43656,0,0.0297675,0.0099225,0.0297675,0.0099225,0.0297675,0.0099225,0.0297675,0.0099225
4,440.509,1.64413,2.614,1.5683,2.06456,0,0.36597,0.34532,0.26737,0.10565,0.35043,0.31458,0.23508,0.0853,2.29497,3.27602,2.28935,2.62476,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,546.98,1.47524,2.37547,1.32422,1.87012,0,0.72815,0.5851,0.65698,0.37066,0.7183,0.55813,0.62158,0.33612,1.53924,2.70469,1.4968,1.91172,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,653.419,1.37821,2.25378,1.19473,1.77508,0,0.7714,0.56061,0.6661,0.3765,0.76182,0.54158,0.63368,0.3335,1.62632,2.63461,1.50967,1.98586,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,761.072,1.27615,2.14488,1.08011,1.69099,0,0.60241,0.33865,0.39309,0.21027,0.59312,0.32647,0.37025,0.18469,1.89693,2.97611,2.21028,2.20379,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,868.324,1.22295,2.05938,0.9965,1.65398,0,0.84568,0.65236,0.76288,0.47394,0.82773,0.63671,0.73313,0.42336,1.38563,2.39771,1.20529,1.7487,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,975.242,1.18759,2.00892,0.96258,1.59738,0,0.82238,0.66947,0.77399,0.47065,0.81501,0.65178,0.75061,0.4145,1.39844,2.39334,1.20117,1.77651,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1083.3,1.1502,1.93404,0.90774,1.57107,0,0.78088,0.54625,0.65094,0.40794,0.77314,0.53204,0.62818,0.36926,1.41781,2.5031,1.59307,1.7962,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1189.79,1.12217,1.90653,0.87214,1.54463,0,0.79904,0.56603,0.65014,0.41712,0.78471,0.55588,0.63085,0.38066,1.43159,2.45886,1.50418,1.79711,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1294.91,1.10196,1.84012,0.83485,1.51872,0,0.75881,0.48043,0.56745,0.34441,0.74966,0.46564,0.54609,0.30972,1.58493,2.63244,1.82262,1.9149,0,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1401.27,1.08185,1.83141,0.81594,1.4917,0,0.88537,0.69643,0.81223,0.54025,0.86625,0.68352,0.78796,0.48615,1.24486,2.20323,1.07832,1.63301,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1508.65,1.07734,1.79697,0.79869,1.49355,0,0.85159,0.68213,0.78603,0.48259,0.84646,0.66173,0.75679,0.43552,1.46533,2.3681,1.1375,1.79558,0,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1615.05,1.05876,1.75245,0.77243,1.46511,0,0.88094,0.72943,0.82937,0.53838,0.87283,0.7164,0.80807,0.49159,1.29057,2.18858,0.99388,1.66144,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1721.32,1.03137,1.72035,0.76158,1.4444,0,0.88351,0.70687,0.81548,0.53141,0.8722,0.69643,0.79698,0.4806,1.29988,2.17433,1.08037,1.67375,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1827.41,1.02198,1.68261,0.73327,1.44746,0,0.82211,0.64318,0.73682,0.48238,0.82271,0.62024,0.71621,0.43682,1.31278,2.26091,1.24235,1.69707,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1933.3,1.02426,1.66813,0.72953,1.45081,0,0.87142,0.64424,0.7608,0.50317,0.8617,0.62869,0.73958,0.45982,1.31734,2.41267,1.33557,1.71115,0,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,2040.29,0.99945,1.64094,0.69943,1.41596,0,0.87414,0.66976,0.77917,0.52538,0.86179,0.65625,0.75785,0.47579,1.2819,2.23627,1.16271,1.65433,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,2146.99,0.99766,1.63701,0.69045,1.42632,0,0.86967,0.72021,0.81826,0.52814,0.85067,0.70193,0.78648,0.48087,1.29893,2.15672,0.95625,1.67592,0,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,2253.66,0.99042,1.622,0.6898,1.40881,0,0.89621,0.75109,0.853,0.56301,0.88836,0.73529,0.83266,0.51165,1.26703,2.12698,0.95988,1.64744,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,2358.46,0.98158,1.5996,0.66682,1.40194,0,0.88013,0.73963,0.83979,0.55985,0.8684,0.72978,0.8209,0.51587,1.25394,2.07543,0.89682,1.6307,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,2464.96,0.97737,1.58088,0.6626,1.39871,0,0.84702,0.68629,0.78224,0.52342,0.83907,0.67092,0.75934,0.47547,1.29483,2.18446,1.01796,1.66794,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2569.82,0.96078,1.57101,0.65636,1.38899,0,0.86252,0.71486,0.81708,0.54212,0.84563,0.70252,0.79512,0.49863,1.27549,2.136,1.01121,1.64882,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2675.93,0.95626,1.53209,0.63843,1.38144,0,0.8928,0.76306,0.86721,0.58537,0.87963,0.75008,0.84432,0.5334,1.23581,2.08778,0.82141,1.61363,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
