epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,1956.61,0.96039,1.55412,0.66024,1.39385,0,0.90173,0.77689,0.87937,0.60927,0.89029,0.76703,0.86282,0.54831,1.16721,2.02464,0.85937,1.55249,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2037.35,0.94727,1.54184,0.65372,1.38417,0,0.88551,0.78485,0.88049,0.60309,0.87583,0.77303,0.86296,0.55245,1.19017,1.97128,0.81864,1.56058,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2118.33,0.94859,1.52485,0.64011,1.38092,0,0.88299,0.76799,0.8714,0.59519,0.86924,0.75556,0.85402,0.5369,1.20406,2.07018,0.9182,1.57772,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2199.18,0.93704,1.51605,0.63215,1.37996,0,0.89452,0.75731,0.85554,0.57867,0.88311,0.74572,0.83634,0.53154,1.23049,2.09175,0.87056,1.59674,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2280.24,0.93201,1.5108,0.62795,1.3584,0,0.89485,0.78602,0.88386,0.62043,0.8794,0.77124,0.86389,0.56623,1.14043,1.92788,0.81364,1.51849,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,2360.88,0.92156,1.49078,0.61832,1.35501,0,0.90623,0.77335,0.86584,0.58412,0.90412,0.76276,0.85015,0.53653,1.2121,2.00293,0.86497,1.58121,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,2441.57,0.91238,1.47472,0.61472,1.35037,0,0.92071,0.76341,0.88301,0.62157,0.91266,0.74369,0.86407,0.57866,1.15431,1.999,0.84295,1.54244,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,2522.66,0.91329,1.46785,0.61108,1.35458,0,0.89386,0.80864,0.89776,0.623,0.89074,0.79269,0.8795,0.57668,1.15986,1.98903,0.72356,1.55009,0,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,2603.36,0.90856,1.44068,0.60065,1.34803,0,0.89329,0.81212,0.90369,0.60996,0.89368,0.79356,0.88562,0.55985,1.20864,2.01377,0.76669,1.58912,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,2684.34,0.90613,1.43228,0.59449,1.34678,0,0.88627,0.7998,0.89217,0.62258,0.88076,0.78573,0.87817,0.56599,1.16468,1.96029,0.78886,1.55898,0,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2764.94,0.89927,1.42974,0.58893,1.33314,0,0.88006,0.79733,0.87931,0.60342,0.86853,0.78747,0.86347,0.55265,1.21351,2.03917,0.83414,1.58687,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2845.74,0.89561,1.41182,0.58415,1.32235,0,0.87952,0.82974,0.90776,0.63715,0.87,0.82075,0.89226,0.58505,1.14293,1.95193,0.71431,1.53025,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,2926.72,0.88355,1.406,0.58141,1.33085,0,0.88529,0.80864,0.89669,0.62154,0.87266,0.79276,0.87758,0.56772,1.1921,2.00972,0.76265,1.57329,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3007.49,0.87783,1.37538,0.57213,1.32081,0,0.89559,0.79588,0.89433,0.62277,0.88715,0.78516,0.87775,0.57102,1.17121,2.00536,0.76246,1.54731,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
