Epoch,Train Loss,Train Acc (%),Test Loss,Test Acc (%),,,Epoch,Train Loss,Test Loss,,,,Epoch,Train Acc (%),Test Acc (%)
68,0.1399,95.15,0.2599,94.02,,,68,0.1399,0.2599,,,,68,95.15,94.02
69,0.1113,96.15,0.2031,95.44,,,69,0.1113,0.2031,,,,69,96.15,95.44
70,0.0826,97.08,0.2,96.58,,,70,0.0826,0.2,,,,70,97.08,96.58
71,0.1099,96.5,0.2324,95.44,,,71,0.1099,0.2324,,,,71,96.5,95.44
72,0.0856,96.85,0.1768,96.3,,,72,0.0856,0.1768,,,,72,96.85,96.3
73,0.0797,97.59,0.2174,95.73,,,73,0.0797,0.2174,,,,73,97.59,95.73
74,0.0668,97.43,0.2985,96.58,,,74,0.0668,0.2985,,,,74,97.43,96.58
75,0.0942,96.69,0.2354,96.58,,,75,0.0942,0.2354,,,,75,96.69,96.58
76,0.119,96.08,0.2106,95.44,,,76,0.119,0.2106,,,,76,96.08,95.44
77,0.1026,96.44,0.2321,94.59,,,77,0.1026,0.2321,,,,77,96.44,94.59
78,0.172,94.57,0.2636,94.87,,,78,0.172,0.2636,,,,78,94.57,94.87
79,0.159,94.96,0.249,95.44,,,79,0.159,0.249,,,,79,94.96,95.44
80,0.0942,96.92,0.2646,95.73,,,80,0.0942,0.2646,,,,80,96.92,95.73
81,0.0713,97.46,0.2306,96.58,,,81,0.0713,0.2306,,,,81,97.46,96.58
82,0.0691,97.62,0.1859,96.87,,,82,0.0691,0.1859,,,,82,97.62,96.87
83,0.0627,97.85,0.285,95.44,,,83,0.0627,0.285,,,,83,97.85,95.44
84,0.0444,98.27,0.2024,96.01,,,84,0.0444,0.2024,,,,84,98.27,96.01
85,0.0401,98.36,0.2181,95.73,,,85,0.0401,0.2181,,,,85,98.36,95.73
86,0.0681,97.69,0.2428,95.73,,,86,0.0681,0.2428,,,,86,97.69,95.73
87,0.0636,97.75,0.2517,95.44,,,87,0.0636,0.2517,,,,87,97.75,95.44
88,0.1037,96.44,0.4195,94.3,,,88,0.1037,0.4195,,,,88,96.44,94.3
89,0.0923,97.11,0.2809,95.44,,,89,0.0923,0.2809,,,,89,97.11,95.44
