epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,227.444,0.96228,1.9672,0.6654,1.06409,0.93612,0.24525,0.35077,0.30538,0.18241,0.03611,0.07937,0.03422,0.01181,1.23875,1.99868,0.65571,2.2013,1.07931,0.00242517,0.000808389,0.00242517,0.000808389,0.00242517,0.000808389,0.00242517,0.000808389
89,229.877,0.97034,2.19519,0.65203,1.07558,0.95545,0.26469,0.31662,0.29195,0.17644,0.46859,0.04873,0.02959,0.00998,1.26802,1.99019,0.65436,2.21581,1.09283,0.00241283,0.000804277,0.00241283,0.000804277,0.00241283,0.000804277,0.00241283,0.000804277
90,232.766,0.98863,2.61033,0.65937,1.39026,0.94475,0.28552,0.38164,0.29619,0.19468,0.09335,0.10508,0.04375,0.0119,1.27221,1.99488,0.6567,2.24665,1.09259,0.00240039,0.000800131,0.00240039,0.000800131,0.00240039,0.000800131,0.00240039,0.000800131
91,235.113,0.83965,2.28424,0.63418,0.91738,0.91093,0.29699,0.35746,0.31307,0.1943,0.06756,0.11604,0.03523,0.01021,1.25674,1.99883,0.6575,2.23764,1.08256,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954
92,237.765,0.88439,2.0335,0.64494,0.96685,0.92463,0.39673,0.42603,0.38227,0.22971,0.06079,0.13884,0.04912,0.01158,1.28106,2.00678,0.65464,2.25994,1.09126,0.00237523,0.000791744,0.00237523,0.000791744,0.00237523,0.000791744,0.00237523,0.000791744
93,240.111,0.80113,2.06285,0.64724,1.06747,0.91037,0.45333,0.45963,0.38627,0.22792,0.09213,0.10472,0.05129,0.01157,1.29673,2.00309,0.65338,2.18705,1.09231,0.00236251,0.000787503,0.00236251,0.000787503,0.00236251,0.000787503,0.00236251,0.000787503
94,242.883,0.91656,1.83255,0.63204,0.94436,0.93922,0.3466,0.41175,0.34403,0.21822,0.0753,0.11937,0.04311,0.01125,1.2416,2.00302,0.65097,2.22035,1.07838,0.00234969,0.000783231,0.00234969,0.000783231,0.00234969,0.000783231,0.00234969,0.000783231
95,245.461,0.81128,2.03624,0.64314,0.89974,0.94984,0.32957,0.41364,0.36146,0.23445,0.13014,0.10284,0.0518,0.01509,1.22174,1.9946,0.64934,2.21334,1.07412,0.00233679,0.000778929,0.00233679,0.000778929,0.00233679,0.000778929,0.00233679,0.000778929
96,248.019,0.86148,2.00273,0.63807,1.00463,0.9291,0.31561,0.3916,0.32775,0.21134,0.12263,0.10298,0.06995,0.01678,1.21977,1.97972,0.65161,2.3295,1.07732,0.00232379,0.000774596,0.00232379,0.000774596,0.00232379,0.000774596,0.00232379,0.000774596
97,250.35,0.86244,2.12285,0.65049,0.90928,0.88453,0.32003,0.44843,0.37047,0.23057,0.35067,0.05079,0.04681,0.01223,1.26543,1.96745,0.6498,2.23964,1.08213,0.0023107,0.000770234,0.0023107,0.000770234,0.0023107,0.000770234,0.0023107,0.000770234
98,253.087,0.95449,2.13603,0.64651,0.92398,0.92653,0.34133,0.47001,0.37855,0.23148,0.30185,0.05079,0.03371,0.0111,1.25485,1.97422,0.64592,2.16971,1.07212,0.00229753,0.000765843,0.00229753,0.000765843,0.00229753,0.000765843,0.00229753,0.000765843
99,255.545,0.92773,2.11231,0.63709,0.90208,0.92091,0.39146,0.45001,0.3624,0.21689,0.04474,0.07651,0.02446,0.01248,1.2784,1.98517,0.64582,2.15901,1.08404,0.00228427,0.000761423,0.00228427,0.000761423,0.00228427,0.000761423,0.00228427,0.000761423
100,258.513,0.86562,2.0683,0.6364,0.8944,0.93252,0.40112,0.42535,0.36445,0.23156,0.05803,0.07366,0.03052,0.01277,1.25278,1.97879,0.64768,2.19341,1.07657,0.00227093,0.000756976,0.00227093,0.000756976,0.00227093,0.000756976,0.00227093,0.000756976
101,260.857,0.91134,2.27218,0.63949,1.00155,0.94959,0.39856,0.4219,0.34034,0.2112,0.46413,0.03651,0.0259,0.01101,1.24262,1.97487,0.6436,2.2184,1.07361,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
102,263.537,0.88204,2.0388,0.63573,0.96936,0.91503,0.48358,0.41294,0.37083,0.23739,0.13374,0.11856,0.05285,0.01364,1.22422,1.9835,0.64525,2.17278,1.07658,0.00224399,0.000747997,0.00224399,0.000747997,0.00224399,0.000747997,0.00224399,0.000747997
103,265.947,0.93578,2.04863,0.64215,0.94116,0.93926,0.39478,0.44434,0.37496,0.24687,0.11964,0.11937,0.05949,0.0156,1.23542,1.98137,0.64339,2.13367,1.07668,0.0022304,0.000743468,0.0022304,0.000743468,0.0022304,0.000743468,0.0022304,0.000743468
104,268.477,0.90244,2.04263,0.63217,0.95592,0.94136,0.37953,0.43591,0.37648,0.24088,0.12708,0.17365,0.06726,0.01709,1.25132,1.98307,0.64322,2.11742,1.07894,0.00221674,0.000738913,0.00221674,0.000738913,0.00221674,0.000738913,0.00221674,0.000738913
105,270.748,0.87337,1.92368,0.64247,0.94849,0.92039,0.54461,0.38467,0.38684,0.2462,0.11022,0.16236,0.05909,0.01387,1.28261,1.97912,0.64317,2.18234,1.09508,0.00220299,0.000734332,0.00220299,0.000734332,0.00220299,0.000734332,0.00220299,0.000734332
106,273.428,0.8489,1.96513,0.60838,0.872,0.91805,0.58559,0.40396,0.4188,0.26855,0.16821,0.10367,0.04562,0.0139,1.23322,1.9664,0.64239,2.08218,1.07741,0.00218918,0.000729725,0.00218918,0.000729725,0.00218918,0.000729725,0.00218918,0.000729725
107,275.82,0.87809,2.02624,0.64538,0.91422,0.91948,0.46303,0.43136,0.42515,0.25452,0.09211,0.11937,0.03845,0.01327,1.21925,1.96058,0.64214,2.08025,1.06817,0.00217528,0.000725094,0.00217528,0.000725094,0.00217528,0.000725094,0.00217528,0.000725094
108,278.527,0.86264,1.96631,0.64208,0.85192,0.92225,0.53296,0.36314,0.39172,0.25431,0.16349,0.13665,0.08334,0.01974,1.23009,1.94589,0.64383,2.07277,1.07146,0.00216132,0.000720439,0.00216132,0.000720439,0.00216132,0.000720439,0.00216132,0.000720439
109,280.959,0.86936,1.83687,0.63287,0.9588,0.89861,0.32968,0.48381,0.3677,0.24429,0.13021,0.15937,0.0763,0.02058,1.22785,1.95452,0.64561,2.20618,1.06822,0.00214728,0.000715761,0.00214728,0.000715761,0.00214728,0.000715761,0.00214728,0.000715761
110,283.584,0.86907,2.05256,0.6448,0.86367,0.90499,0.32924,0.43064,0.35819,0.22625,0.15626,0.17358,0.09077,0.02406,1.21562,1.95471,0.64634,2.44236,1.06352,0.00213318,0.000711059,0.00213318,0.000711059,0.00213318,0.000711059,0.00213318,0.000711059
111,285.976,0.86037,2.01645,0.62985,0.92082,0.90641,0.35779,0.47153,0.37009,0.23123,0.12809,0.14508,0.08228,0.02149,1.22249,1.96402,0.64412,2.40763,1.06128,0.002119,0.000706335,0.002119,0.000706335,0.002119,0.000706335,0.002119,0.000706335
112,288.661,0.84881,2.00436,0.64985,0.915,0.93011,0.39247,0.4981,0.36122,0.22931,0.137,0.14508,0.08589,0.02002,1.2132,1.96573,0.64137,2.33893,1.0606,0.00210476,0.000701588,0.00210476,0.000701588,0.00210476,0.000701588,0.00210476,0.000701588
113,290.952,0.98752,1.96353,0.64591,0.99021,0.9103,0.39188,0.4981,0.37237,0.23437,0.13676,0.15937,0.08933,0.02018,1.21404,1.97367,0.641,2.30492,1.06271,0.00209046,0.00069682,0.00209046,0.00069682,0.00209046,0.00069682,0.00209046,0.00069682
114,293.426,0.91995,2.19112,0.63739,0.90283,0.91333,0.36356,0.45524,0.35683,0.22574,0.1405,0.17365,0.07936,0.01688,1.21942,1.97237,0.6392,2.29313,1.0656,0.00207609,0.000692031,0.00207609,0.000692031,0.00207609,0.000692031,0.00207609,0.000692031
115,295.702,0.7626,2.23061,0.63846,1.06285,0.88188,0.40406,0.45455,0.36685,0.22449,0.11723,0.12781,0.04817,0.0149,1.24683,1.97685,0.63857,2.28527,1.07148,0.00206166,0.000687222,0.00206166,0.000687222,0.00206166,0.000687222,0.00206166,0.000687222
116,298.324,0.87309,2.13019,0.62794,0.88484,0.92042,0.40209,0.43279,0.37583,0.23001,0.11878,0.14285,0.04469,0.01442,1.25549,1.98124,0.63863,2.33102,1.07414,0.00204718,0.000682392,0.00204718,0.000682392,0.00204718,0.000682392,0.00204718,0.000682392
117,300.673,0.78076,2.09155,0.61534,0.82011,0.88135,0.40864,0.44302,0.3589,0.22555,0.09867,0.11937,0.03836,0.0134,1.24934,1.97238,0.63721,2.27625,1.0812,0.00203263,0.000677543,0.00203263,0.000677543,0.00203263,0.000677543,0.00203263,0.000677543
118,303.178,0.74824,1.91928,0.61853,0.73668,0.87631,0.33244,0.4981,0.34238,0.21496,0.04671,0.09365,0.03193,0.01375,1.24457,1.98292,0.63582,2.33919,1.07836,0.00201803,0.000672675,0.00201803,0.000672675,0.00201803,0.000672675,0.00201803,0.000672675
119,305.667,0.87641,1.91389,0.62448,0.85604,0.89342,0.26227,0.40381,0.37511,0.23497,0.05587,0.07937,0.03083,0.01329,1.24227,1.97397,0.63408,2.26525,1.08087,0.00200337,0.000667789,0.00200337,0.000667789,0.00200337,0.000667789,0.00200337,0.000667789
120,308.218,0.80885,2.00014,0.62326,0.76882,0.93284,0.30424,0.41964,0.38966,0.23956,0.07461,0.09365,0.05251,0.0234,1.2371,1.95516,0.63539,2.33093,1.07299,0.00198865,0.000662885,0.00198865,0.000662885,0.00198865,0.000662885,0.00198865,0.000662885
121,310.639,0.72641,2.09113,0.60419,0.73739,0.88918,0.30616,0.45311,0.3564,0.23127,0.07829,0.09365,0.05372,0.02374,1.22674,1.94998,0.63483,2.33412,1.07496,0.00197389,0.000657963,0.00197389,0.000657963,0.00197389,0.000657963,0.00197389,0.000657963
122,313.215,0.75491,1.95515,0.59796,0.82823,0.89014,0.30862,0.47184,0.35559,0.23664,0.09296,0.13365,0.04484,0.01971,1.22713,1.92225,0.63426,2.29911,1.07587,0.00195908,0.000653025,0.00195908,0.000653025,0.00195908,0.000653025,0.00195908,0.000653025
123,315.593,0.86066,2.10657,0.63425,0.82273,0.90338,0.40607,0.31302,0.35286,0.22806,0.05283,0.09365,0.04205,0.01895,1.23289,1.9217,0.63549,2.35156,1.07643,0.00194421,0.000648071,0.00194421,0.000648071,0.00194421,0.000648071,0.00194421,0.000648071
124,318.171,0.83728,1.85681,0.6325,0.81961,0.8952,0.41632,0.31302,0.35717,0.23597,0.08473,0.13181,0.06316,0.02072,1.23053,1.90557,0.63509,2.3123,1.07285,0.0019293,0.000643101,0.0019293,0.000643101,0.0019293,0.000643101,0.0019293,0.000643101
125,320.548,0.83026,2.08082,0.61185,0.8238,0.90912,0.27265,0.47231,0.35322,0.23027,0.10401,0.17738,0.07167,0.0213,1.2286,1.89827,0.63356,2.3258,1.07175,0.00191435,0.000638115,0.00191435,0.000638115,0.00191435,0.000638115,0.00191435,0.000638115
126,323.044,0.83,1.98282,0.61208,0.8659,0.87882,0.30572,0.50603,0.35956,0.2319,0.0941,0.17365,0.06404,0.01991,1.23474,1.90235,0.63364,2.2714,1.07005,0.00189935,0.000633115,0.00189935,0.000633115,0.00189935,0.000633115,0.00189935,0.000633115
127,325.382,0.76652,1.99445,0.6082,0.74359,0.89121,0.26492,0.47923,0.33904,0.23284,0.08966,0.17208,0.0753,0.02116,1.23374,1.904,0.63225,2.28742,1.06869,0.0018843,0.000628101,0.0018843,0.000628101,0.0018843,0.000628101,0.0018843,0.000628101
128,327.922,0.79488,2.01074,0.61613,0.78244,0.89619,0.26403,0.34952,0.34978,0.22772,0.5907,0.06508,0.07052,0.01597,1.24545,1.91317,0.62679,2.33685,1.06842,0.00186922,0.000623074,0.00186922,0.000623074,0.00186922,0.000623074,0.00186922,0.000623074
129,330.254,0.77561,1.97528,0.60894,0.78638,0.89665,0.35179,0.30788,0.33294,0.21769,0.5731,0.06508,0.05567,0.01544,1.25636,1.91921,0.62805,2.34768,1.06568,0.0018541,0.000618034,0.0018541,0.000618034,0.0018541,0.000618034,0.0018541,0.000618034
130,332.776,0.78578,1.93594,0.59897,0.74762,0.90662,0.32304,0.34641,0.33995,0.23488,0.58678,0.06508,0.0636,0.0166,1.23809,1.91787,0.62452,2.35804,1.06131,0.00183894,0.000612981,0.00183894,0.000612981,0.00183894,0.000612981,0.00183894,0.000612981
131,335.066,0.74998,1.85486,0.60895,0.73078,0.88037,0.4249,0.37725,0.36291,0.24815,0.57689,0.06508,0.06296,0.01682,1.22885,1.92205,0.62657,2.39201,1.06529,0.00182375,0.000607916,0.00182375,0.000607916,0.00182375,0.000607916,0.00182375,0.000607916
132,337.581,0.77561,1.88256,0.60566,0.72626,0.87861,0.26857,0.34406,0.33547,0.23483,0.53493,0.07937,0.06889,0.01547,1.23783,1.92718,0.62679,2.45104,1.07654,0.00180852,0.00060284,0.00180852,0.00060284,0.00180852,0.00060284,0.00180852,0.00060284
133,339.892,0.73642,2.00768,0.60555,0.69205,0.88598,0.26812,0.34223,0.33425,0.23075,0.5249,0.07937,0.06357,0.01343,1.23371,1.92784,0.62554,2.44001,1.07293,0.00179326,0.000597754,0.00179326,0.000597754,0.00179326,0.000597754,0.00179326,0.000597754
134,342.359,0.82623,2.0325,0.61557,0.82713,0.88798,0.34715,0.41722,0.36153,0.23687,0.58136,0.06346,0.05994,0.01361,1.20951,1.92808,0.6284,2.35904,1.07038,0.00177797,0.000592657,0.00177797,0.000592657,0.00177797,0.000592657,0.00177797,0.000592657
135,344.848,0.90944,2.0399,0.61172,0.85524,0.92914,0.30257,0.40703,0.34206,0.22405,0.49449,0.05079,0.0452,0.0124,1.21819,1.92781,0.6285,2.33823,1.07717,0.00176265,0.000587551,0.00176265,0.000587551,0.00176265,0.000587551,0.00176265,0.000587551
136,347.478,0.82443,1.92458,0.60722,0.74298,0.8715,0.31218,0.43238,0.36054,0.23696,0.50503,0.05079,0.04411,0.01289,1.21428,1.94446,0.62563,2.30819,1.07547,0.00174731,0.000582435,0.00174731,0.000582435,0.00174731,0.000582435,0.00174731,0.000582435
137,349.831,0.76153,2.00596,0.59408,0.75681,0.88328,0.3144,0.43238,0.36752,0.24462,0.50872,0.05079,0.04391,0.01423,1.18716,1.94516,0.62254,2.31067,1.06861,0.00173193,0.000577311,0.00173193,0.000577311,0.00173193,0.000577311,0.00173193,0.000577311
138,352.385,0.84698,2.08409,0.61594,0.75763,0.89801,0.32126,0.41931,0.36189,0.24153,0.61107,0.06508,0.06267,0.01846,1.19472,1.93757,0.62428,2.37052,1.06953,0.00171654,0.000572179,0.00171654,0.000572179,0.00171654,0.000572179,0.00171654,0.000572179
139,354.642,0.81834,2.11152,0.61759,0.75817,0.91178,0.55894,0.36017,0.34493,0.23815,0.62578,0.06508,0.06931,0.01832,1.20102,1.93562,0.6245,2.41389,1.07329,0.00170112,0.00056704,0.00170112,0.00056704,0.00170112,0.00056704,0.00170112,0.00056704
140,357.153,0.7614,2.00327,0.59121,0.80605,0.87677,0.58895,0.34508,0.36089,0.2465,0.31831,0.09365,0.0703,0.02004,1.17753,1.93253,0.62018,2.3265,1.06928,0.00168568,0.000561894,0.00168568,0.000561894,0.00168568,0.000561894,0.00168568,0.000561894
141,359.496,0.77449,1.88424,0.61167,0.73915,0.91486,0.61586,0.34508,0.3714,0.25847,0.34305,0.09365,0.07113,0.02066,1.18665,1.9274,0.6185,2.27432,1.07159,0.00167022,0.000556742,0.00167022,0.000556742,0.00167022,0.000556742,0.00167022,0.000556742
142,362.133,0.72259,1.93414,0.6115,0.79918,0.89792,0.66031,0.29276,0.37587,0.25611,0.33784,0.07937,0.06371,0.01906,1.21629,1.95311,0.62024,2.23806,1.08125,0.00165475,0.000551584,0.00165475,0.000551584,0.00165475,0.000551584,0.00165475,0.000551584
143,364.372,0.80098,2.01495,0.62415,0.73737,0.90978,0.64279,0.29781,0.3773,0.25066,0.33346,0.07937,0.07707,0.02127,1.22299,1.94608,0.61897,2.26613,1.08345,0.00163926,0.000546421,0.00163926,0.000546421,0.00163926,0.000546421,0.00163926,0.000546421
144,366.927,0.75734,1.77226,0.60652,0.69821,0.87021,0.57916,0.36194,0.37509,0.24352,0.59926,0.06508,0.06704,0.02218,1.21953,1.9234,0.61776,2.25571,1.08201,0.00162376,0.000541253,0.00162376,0.000541253,0.00162376,0.000541253,0.00162376,0.000541253
145,369.351,0.75514,1.93616,0.58395,0.68877,0.88059,0.61998,0.34952,0.37612,0.2437,0.61378,0.06508,0.06814,0.02235,1.2135,1.92681,0.61701,2.237,1.07948,0.00160824,0.000536081,0.00160824,0.000536081,0.00160824,0.000536081,0.00160824,0.000536081
146,371.889,0.7909,1.93222,0.58724,0.79165,0.877,0.40634,0.39335,0.39933,0.26942,0.64367,0.06508,0.09068,0.02438,1.20402,1.90577,0.61804,2.22581,1.07708,0.00159272,0.000530906,0.00159272,0.000530906,0.00159272,0.000530906,0.00159272,0.000530906
147,374.16,0.86565,1.78595,0.6183,0.80044,0.91761,0.37994,0.40381,0.40529,0.27135,0.4264,0.06508,0.08969,0.02288,1.20965,1.90432,0.61639,2.18201,1.08406,0.00157719,0.000525728,0.00157719,0.000525728,0.00157719,0.000525728,0.00157719,0.000525728
148,376.639,0.75607,1.87022,0.5953,0.71604,0.88934,0.58926,0.42603,0.40168,0.27194,0.61431,0.06508,0.07105,0.01983,1.19463,1.92519,0.61395,2.21684,1.08015,0.00156164,0.000520548,0.00156164,0.000520548,0.00156164,0.000520548,0.00156164,0.000520548
149,378.844,0.76368,2.11349,0.58325,0.78077,0.90923,0.73865,0.35601,0.40561,0.26985,0.41424,0.06508,0.07213,0.02001,1.18479,1.93013,0.61142,2.22442,1.06846,0.0015461,0.000515366,0.0015461,0.000515366,0.0015461,0.000515366,0.0015461,0.000515366
150,381.294,0.84164,2.07106,0.61087,0.75382,0.89715,0.62096,0.41908,0.37814,0.25455,0.65012,0.06508,0.08867,0.02361,1.1802,1.91996,0.61179,2.22587,1.06493,0.00153055,0.000510184,0.00153055,0.000510184,0.00153055,0.000510184,0.00153055,0.000510184
151,383.626,0.77246,1.88602,0.58688,0.81362,0.90112,0.58754,0.38488,0.3625,0.25427,0.4787,0.06508,0.07521,0.02362,1.18179,1.91576,0.61286,2.26244,1.06787,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
152,386.087,0.73584,1.85773,0.58489,0.69338,0.87297,0.6953,0.4078,0.39057,0.26741,0.60131,0.05079,0.05006,0.02236,1.16804,1.9114,0.61004,2.26005,1.06676,0.00149945,0.000499816,0.00149945,0.000499816,0.00149945,0.000499816,0.00149945,0.000499816
153,388.336,0.75617,2.12832,0.5957,0.68329,0.87315,0.38066,0.42736,0.38446,0.26474,0.61707,0.05079,0.04815,0.02145,1.1716,1.90129,0.61195,2.2811,1.06623,0.0014839,0.000494634,0.0014839,0.000494634,0.0014839,0.000494634,0.0014839,0.000494634
154,390.781,0.7461,1.89051,0.58335,0.66736,0.87982,0.35895,0.37864,0.3741,0.25886,0.60856,0.05079,0.04853,0.01914,1.16467,1.89679,0.61089,2.31245,1.05745,0.00146836,0.000489452,0.00146836,0.000489452,0.00146836,0.000489452,0.00146836,0.000489452
155,393.068,0.71448,2.04053,0.5613,0.68728,0.90518,0.45821,0.36949,0.37396,0.25775,0.62206,0.05079,0.04838,0.01855,1.18104,1.88579,0.61031,2.33522,1.05772,0.00145281,0.000484272,0.00145281,0.000484272,0.00145281,0.000484272,0.00145281,0.000484272
156,395.729,0.68869,1.97606,0.58772,0.64324,0.8803,0.45285,0.35703,0.37742,0.25608,0.58912,0.05079,0.04892,0.01651,1.19767,1.88369,0.60845,2.30674,1.06948,0.00143728,0.000479094,0.00143728,0.000479094,0.00143728,0.000479094,0.00143728,0.000479094
157,398.194,0.74167,1.91153,0.5977,0.70868,0.87966,0.45773,0.35027,0.37869,0.24879,0.57965,0.05079,0.0495,0.01981,1.19817,1.88562,0.60864,2.30275,1.06934,0.00142176,0.000473919,0.00142176,0.000473919,0.00142176,0.000473919,0.00142176,0.000473919
158,400.733,0.79436,1.65371,0.59546,0.68381,0.88995,0.34718,0.40998,0.3688,0.24474,0.59754,0.06508,0.0556,0.01743,1.18516,1.89041,0.60531,2.34247,1.06852,0.00140624,0.000468747,0.00140624,0.000468747,0.00140624,0.000468747,0.00140624,0.000468747
159,403.091,0.7312,1.83811,0.5748,0.66908,0.87687,0.37042,0.40381,0.36699,0.24423,0.63421,0.06508,0.05492,0.01804,1.17606,1.88776,0.60531,2.33561,1.06231,0.00139074,0.000463579,0.00139074,0.000463579,0.00139074,0.000463579,0.00139074,0.000463579
160,405.825,0.70152,1.98862,0.57902,0.66408,0.87711,0.41903,0.37397,0.3749,0.25235,0.63901,0.06508,0.05928,0.01699,1.17527,1.88526,0.6065,2.33891,1.06459,0.00137525,0.000458416,0.00137525,0.000458416,0.00137525,0.000458416,0.00137525,0.000458416
161,408.284,0.84508,1.76718,0.60803,0.77735,0.93323,0.39596,0.40381,0.38144,0.25525,0.62088,0.06508,0.05873,0.01832,1.17804,1.87617,0.60938,2.33451,1.05812,0.00135978,0.000453258,0.00135978,0.000453258,0.00135978,0.000453258,0.00135978,0.000453258
162,410.956,0.78555,1.82805,0.59427,0.71538,0.88824,0.39871,0.41781,0.38747,0.25573,0.68776,0.06508,0.05877,0.01828,1.19274,1.8888,0.61004,2.29181,1.06672,0.00134432,0.000448106,0.00134432,0.000448106,0.00134432,0.000448106,0.00134432,0.000448106
163,413.475,0.76182,1.74521,0.59299,0.64948,0.87074,0.38614,0.42742,0.38614,0.26121,0.67246,0.06508,0.05876,0.01805,1.20012,1.88303,0.61017,2.26866,1.06806,0.00132888,0.00044296,0.00132888,0.00044296,0.00132888,0.00044296,0.00132888,0.00044296
164,415.954,0.78531,1.73648,0.59129,0.71862,0.8715,0.43956,0.38594,0.39237,0.25896,0.41538,0.06508,0.06668,0.01894,1.2131,1.90461,0.61042,2.31404,1.074,0.00131346,0.000437821,0.00131346,0.000437821,0.00131346,0.000437821,0.00131346,0.000437821
165,418.158,0.66254,1.94893,0.56829,0.63501,0.86394,0.40776,0.38803,0.38172,0.2609,0.42238,0.06508,0.0598,0.01807,1.19009,1.90848,0.60891,2.32657,1.07161,0.00129807,0.000432689,0.00129807,0.000432689,0.00129807,0.000432689,0.00129807,0.000432689
166,420.565,0.81327,1.86948,0.59286,0.7303,0.88504,0.42499,0.40147,0.37956,0.26277,0.09572,0.09174,0.05656,0.01807,1.19478,1.90779,0.61208,2.40776,1.07589,0.00128269,0.000427565,0.00128269,0.000427565,0.00128269,0.000427565,0.00128269,0.000427565
167,422.802,0.68279,1.94447,0.56568,0.64315,0.88308,0.38761,0.41175,0.37672,0.26084,0.06541,0.10894,0.06002,0.01937,1.18829,1.90897,0.60922,2.40012,1.07718,0.00126735,0.000422449,0.00126735,0.000422449,0.00126735,0.000422449,0.00126735,0.000422449
168,425.52,0.68649,1.92746,0.58585,0.69443,0.87346,0.3907,0.43821,0.37741,0.26565,0.07917,0.10464,0.0516,0.01883,1.18249,1.91289,0.6062,2.42203,1.07781,0.00125203,0.000417343,0.00125203,0.000417343,0.00125203,0.000417343,0.00125203,0.000417343
169,427.946,0.82616,1.68338,0.60647,0.85852,0.91308,0.37731,0.41759,0.37699,0.26581,0.06501,0.10794,0.05184,0.01726,1.17918,1.90689,0.6056,2.45994,1.07319,0.00123674,0.000412246,0.00123674,0.000412246,0.00123674,0.000412246,0.00123674,0.000412246
170,430.428,0.74697,1.83769,0.59444,0.68942,0.87453,0.25551,0.41878,0.353,0.25151,0.55498,0.05079,0.05493,0.01797,1.20092,1.90675,0.60342,2.47908,1.08246,0.00122148,0.00040716,0.00122148,0.00040716,0.00122148,0.00040716,0.00122148,0.00040716
171,432.671,0.83574,1.7056,0.58983,0.79796,0.94448,0.26816,0.4181,0.35147,0.25653,0.63882,0.06508,0.07103,0.01928,1.19787,1.90828,0.60224,2.43445,1.08157,0.00120625,0.000402084,0.00120625,0.000402084,0.00120625,0.000402084,0.00120625,0.000402084
172,435.244,0.71327,1.65797,0.5596,0.71905,0.86505,0.39684,0.43975,0.36996,0.2676,0.32509,0.09365,0.06827,0.01951,1.16768,1.8962,0.60061,2.31931,1.07114,0.00119106,0.000397019,0.00119106,0.000397019,0.00119106,0.000397019,0.00119106,0.000397019
173,437.73,0.75381,1.93093,0.59865,0.70239,0.88618,0.39573,0.44566,0.37141,0.26555,0.10564,0.14794,0.06967,0.0199,1.15465,1.89077,0.60208,2.3179,1.0686,0.0011759,0.000391966,0.0011759,0.000391966,0.0011759,0.000391966,0.0011759,0.000391966
174,440.44,0.6748,1.68324,0.57681,0.61591,0.85145,0.51307,0.4578,0.40173,0.26973,0.10328,0.14794,0.06958,0.02356,1.14621,1.90615,0.60212,2.29011,1.05979,0.00116078,0.000386926,0.00116078,0.000386926,0.00116078,0.000386926,0.00116078,0.000386926
175,442.675,0.87035,1.60735,0.61239,0.75925,0.95613,0.45187,0.42727,0.38788,0.26766,0.09326,0.13212,0.06942,0.02412,1.14275,1.90336,0.60226,2.26967,1.06276,0.0011457,0.000381899,0.0011457,0.000381899,0.0011457,0.000381899,0.0011457,0.000381899
176,445.088,0.78203,1.79714,0.58535,0.66029,0.8612,0.6777,0.38014,0.38928,0.26891,0.11273,0.17365,0.08096,0.02555,1.13155,1.89613,0.59993,2.24919,1.06382,0.00113065,0.000376885,0.00113065,0.000376885,0.00113065,0.000376885,0.00113065,0.000376885
177,447.459,0.79429,1.92652,0.5908,0.75845,0.87035,0.7136,0.36108,0.39392,0.27656,0.07714,0.13365,0.08056,0.02459,1.1231,1.889,0.60018,2.25524,1.06082,0.00111565,0.000371885,0.00111565,0.000371885,0.00111565,0.000371885,0.00111565,0.000371885
178,449.971,0.68882,1.831,0.56583,0.617,0.85242,0.63347,0.32911,0.37621,0.26799,0.08515,0.13365,0.08442,0.02654,1.11797,1.88379,0.59793,2.25861,1.05453,0.0011007,0.000366899,0.0011007,0.000366899,0.0011007,0.000366899,0.0011007,0.000366899
179,452.352,0.71541,1.99993,0.55986,0.66564,0.85212,0.59704,0.35812,0.37691,0.26424,0.28565,0.1331,0.08504,0.03028,1.11225,1.87738,0.59876,2.30042,1.04969,0.00108579,0.000361929,0.00108579,0.000361929,0.00108579,0.000361929,0.00108579,0.000361929
180,455.187,0.72704,1.81866,0.58529,0.64451,0.87116,0.58352,0.3595,0.3675,0.2524,0.63975,0.06425,0.08057,0.0314,1.12207,1.86642,0.59927,2.34401,1.05193,0.00107092,0.000356975,0.00107092,0.000356975,0.00107092,0.000356975,0.00107092,0.000356975
181,457.675,0.74183,1.98814,0.60657,0.68881,0.87311,0.58926,0.35901,0.36692,0.25118,0.0839,0.13365,0.08965,0.02855,1.13202,1.87627,0.59864,2.36047,1.05566,0.00105611,0.000352037,0.00105611,0.000352037,0.00105611,0.000352037,0.00105611,0.000352037
182,460.384,0.72087,1.89396,0.56575,0.65825,0.87634,0.29006,0.39246,0.34587,0.25007,0.11082,0.14124,0.09162,0.02359,1.13641,1.90106,0.59727,2.40837,1.05391,0.00104135,0.000347115,0.00104135,0.000347115,0.00104135,0.000347115,0.00104135,0.000347115
