epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,59.1986,1.39529,2.88076,0.69869,2.52675,1.14817,0.31155,0.54413,0.18958,0.10831,0.8196,0.02857,0.01067,0.00341,1.43126,2.31134,0.69021,2.73567,1.12662,0.00296424,0.000988079,0.00296424,0.000988079,0.00296424,0.000988079,0.00296424,0.000988079
23,61.5595,1.39345,2.78018,0.70011,2.37085,1.0785,0.28863,0.50413,0.18,0.09972,0.21268,0.06508,0.00415,0.00046,1.41048,2.30285,0.69137,2.89649,1.1169,0.00296076,0.000986922,0.00296076,0.000986922,0.00296076,0.000986922,0.00296076,0.000986922
24,64.1757,1.30888,2.63102,0.69776,2.34761,1.08612,0.30045,0.55206,0.16277,0.08899,0.21498,0.07651,0.00763,0.00103,1.44023,2.24429,0.69479,3.0967,1.13416,0.00295713,0.000985711,0.00295713,0.000985711,0.00295713,0.000985711,0.00295713,0.000985711
25,66.5668,1.29301,2.50582,0.69931,2.20385,1.06834,0.20195,0.5127,0.19619,0.10477,0.4222,0.06857,0.00884,0.00122,1.44765,2.22108,0.6959,3.02458,1.1397,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449
26,69.1825,1.27072,2.72001,0.69695,2.24712,1.05337,0.24742,0.5254,0.18924,0.10558,0.61835,0.04286,0.00631,0.00114,1.45375,2.20658,0.69357,2.85316,1.14732,0.0029494,0.000983133,0.0029494,0.000983133,0.0029494,0.000983133,0.0029494,0.000983133
27,71.5006,1.34917,2.55275,0.6976,2.19431,1.08511,0.1474,0.48635,0.18653,0.10524,0.4161,0.06508,0.0058,0.00126,1.43893,2.18596,0.69444,3.82714,1.14264,0.0029453,0.000981765,0.0029453,0.000981765,0.0029453,0.000981765,0.0029453,0.000981765
28,74.2339,1.32437,2.80484,0.69829,2.19216,1.09438,0.45225,0.3781,0.19126,0.108,0.63291,0.05714,0.01637,0.00227,1.39682,2.1712,0.68987,2.83881,1.11982,0.00294104,0.000980345,0.00294104,0.000980345,0.00294104,0.000980345,0.00294104,0.000980345
29,76.6476,1.255,2.5063,0.69096,2.18602,1.03383,0.49986,0.35556,0.19063,0.10659,0.42275,0.04286,0.01125,0.00202,1.39747,2.17348,0.6906,2.91754,1.12159,0.00293662,0.000978873,0.00293662,0.000978873,0.00293662,0.000978873,0.00293662,0.000978873
30,79.1964,1.25333,2.67384,0.69634,2.05951,1.04225,0.31494,0.46413,0.18753,0.10972,0.23572,0.18508,0.03387,0.00421,1.39193,2.16404,0.68913,2.73633,1.11782,0.00293205,0.000977349,0.00293205,0.000977349,0.00293205,0.000977349,0.00293205,0.000977349
31,81.5974,1.18228,2.43164,0.69402,1.98967,1.01699,0.35267,0.38762,0.18872,0.1141,0.05075,0.19651,0.02788,0.00414,1.41772,2.14473,0.6885,2.5025,1.11723,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773
32,84.1622,1.40821,2.58983,0.69105,2.49908,1.05669,0.21739,0.48653,0.1902,0.10021,0.05027,0.17714,0.03571,0.00883,1.42375,2.12263,0.68875,2.39738,1.12903,0.00292244,0.000974145,0.00292244,0.000974145,0.00292244,0.000974145,0.00292244,0.000974145
33,86.45,1.17893,2.48703,0.69063,2.00924,1.04616,0.14803,0.54494,0.19393,0.11299,0.04978,0.15937,0.04147,0.01048,1.41216,2.11425,0.68971,2.4986,1.12723,0.0029174,0.000972466,0.0029174,0.000972466,0.0029174,0.000972466,0.0029174,0.000972466
34,88.9909,1.24884,2.51973,0.68996,1.82759,1.02194,0.15088,0.47841,0.21399,0.12732,0.05099,0.14508,0.05141,0.01513,1.38838,2.10714,0.68717,2.3867,1.11953,0.00291221,0.000970736,0.00291221,0.000970736,0.00291221,0.000970736,0.00291221,0.000970736
35,91.2939,1.21452,2.54456,0.69184,1.94781,1.03977,0.56733,0.35556,0.19939,0.11189,0.06617,0.23785,0.04298,0.01279,1.40265,2.08573,0.68816,2.70077,1.13138,0.00290686,0.000968955,0.00290686,0.000968955,0.00290686,0.000968955,0.00290686,0.000968955
36,93.8014,1.18212,2.36793,0.68975,1.78388,1.00758,0.55422,0.2762,0.19855,0.11733,0.23701,0.11937,0.04248,0.01205,1.39272,2.10245,0.68987,2.46513,1.12875,0.00290137,0.000967122,0.00290137,0.000967122,0.00290137,0.000967122,0.00290137,0.000967122
37,96.1735,1.18057,2.55177,0.69174,2.05406,1.02474,0.55714,0.34127,0.19277,0.11212,0.02384,0.09079,0.03281,0.00863,1.39759,2.10335,0.68789,2.52193,1.1136,0.00289572,0.000965239,0.00289572,0.000965239,0.00289572,0.000965239,0.00289572,0.000965239
38,98.7039,1.14482,2.22276,0.6846,1.84353,1.04665,0.52902,0.42698,0.19537,0.11241,0.22152,0.09365,0.04342,0.01094,1.42488,2.07765,0.68948,3.04001,1.1379,0.00288992,0.000963306,0.00288992,0.000963306,0.00288992,0.000963306,0.00288992,0.000963306
39,101.029,1.24021,2.39228,0.68788,1.73283,1.04265,0.52448,0.38413,0.19757,0.11328,0.03464,0.11937,0.04483,0.01132,1.4483,2.07456,0.68818,3.43693,1.14273,0.00288397,0.000961322,0.00288397,0.000961322,0.00288397,0.000961322,0.00288397,0.000961322
40,103.631,1.10256,2.35132,0.69012,1.62823,0.99293,0.56711,0.26679,0.1948,0.11863,0.0209,0.09365,0.0323,0.00849,1.39256,2.06753,0.68672,2.53736,1.13604,0.00287787,0.000959289,0.00287787,0.000959289,0.00287787,0.000959289,0.00287787,0.000959289
41,106.019,1.18442,2.36559,0.68082,1.78908,1.01552,0.34122,0.34501,0.18996,0.1119,0.02648,0.11937,0.03887,0.00666,1.40238,2.05586,0.6876,2.99442,1.13331,0.00287162,0.000957205,0.00287162,0.000957205,0.00287162,0.000957205,0.00287162,0.000957205
42,108.596,1.26466,2.36519,0.69087,1.83048,1.01862,0.35891,0.36557,0.20975,0.12029,0.46236,0.06508,0.03851,0.00529,1.40968,2.05826,0.68891,2.43336,1.141,0.00286522,0.000955072,0.00286522,0.000955072,0.00286522,0.000955072,0.00286522,0.000955072
43,110.921,1.08281,2.52272,0.68291,1.81168,1.05776,0.58032,0.3516,0.20104,0.12166,0.44785,0.09542,0.04443,0.0079,1.39168,2.03971,0.68806,2.59785,1.13711,0.00285867,0.000952889,0.00285867,0.000952889,0.00285867,0.000952889,0.00285867,0.000952889
44,113.486,1.18878,2.55995,0.6886,1.6749,0.98187,0.56705,0.35397,0.21939,0.1135,0.44805,0.10038,0.03707,0.00664,1.3357,2.04776,0.68443,2.43156,1.10633,0.00285197,0.000950658,0.00285197,0.000950658,0.00285197,0.000950658,0.00285197,0.000950658
45,115.809,1.06977,2.19845,0.67665,1.61342,0.97582,0.54183,0.33106,0.22358,0.1192,0.03148,0.10794,0.04186,0.00917,1.35764,2.06578,0.68236,2.38142,1.10404,0.00284513,0.000948377,0.00284513,0.000948377,0.00284513,0.000948377,0.00284513,0.000948377
46,118.413,1.05731,2.45803,0.68391,1.64977,0.98695,0.32846,0.39048,0.22854,0.11887,0.07841,0.18235,0.05326,0.01055,1.36841,2.04743,0.68103,2.41718,1.10782,0.00283814,0.000946048,0.00283814,0.000946048,0.00283814,0.000946048,0.00283814,0.000946048
47,121.134,1.12402,2.34318,0.67694,1.67226,1.02195,0.14075,0.43348,0.23722,0.13036,0.07325,0.17336,0.04606,0.00824,1.36847,2.05564,0.68002,2.33439,1.10409,0.00283101,0.000943671,0.00283101,0.000943671,0.00283101,0.000943671,0.00283101,0.000943671
48,123.976,1.13358,2.34188,0.67876,1.75326,1.02487,0.58541,0.39048,0.21692,0.12389,0.4491,0.09365,0.04968,0.0118,1.37023,2.03961,0.6807,2.38237,1.10886,0.00282374,0.000941245,0.00282374,0.000941245,0.00282374,0.000941245,0.00282374,0.000941245
49,126.645,1.09632,2.39945,0.67253,1.57833,0.97022,0.57035,0.43333,0.26305,0.1484,0.4653,0.05714,0.03316,0.00613,1.36133,2.03722,0.67902,2.15788,1.10015,0.00281632,0.000938772,0.00281632,0.000938772,0.00281632,0.000938772,0.00281632,0.000938772
50,129.278,1.06224,2.31723,0.67471,1.65547,0.98369,0.60206,0.38254,0.25079,0.15076,0.48733,0.10794,0.04968,0.0096,1.37428,2.04091,0.67814,2.22349,1.10584,0.00280875,0.000936251,0.00280875,0.000936251,0.00280875,0.000936251,0.00280875,0.000936251
51,131.712,1.10855,2.22122,0.67913,1.7893,1.00111,0.18233,0.41426,0.24877,0.15163,0.06009,0.14794,0.04789,0.00882,1.42902,2.03785,0.6781,2.56074,1.12706,0.00280105,0.000933683,0.00280105,0.000933683,0.00280105,0.000933683,0.00280105,0.000933683
52,134.32,1.05611,2.2831,0.67744,1.57583,0.98722,0.38626,0.36509,0.24063,0.1479,0.46884,0.09365,0.02445,0.00644,1.36223,2.01593,0.67748,2.22348,1.0967,0.0027932,0.000931067,0.0027932,0.000931067,0.0027932,0.000931067,0.0027932,0.000931067
53,136.737,1.049,2.17484,0.67651,1.72428,0.99207,0.60201,0.32381,0.23886,0.14164,0.49836,0.09365,0.052,0.01159,1.35738,2.02127,0.67678,2.26607,1.09506,0.00278522,0.000928405,0.00278522,0.000928405,0.00278522,0.000928405,0.00278522,0.000928405
54,139.367,1.08517,2.18362,0.6777,1.49791,0.96378,0.65108,0.34603,0.25914,0.13976,0.50525,0.09365,0.04849,0.01028,1.36025,2.03062,0.67588,2.24187,1.08655,0.00277709,0.000925697,0.00277709,0.000925697,0.00277709,0.000925697,0.00277709,0.000925697
