epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.77178,5.24112,0.63657,0.71305,8.14007,4.50158,0,0,0,0,0.00507,0.63235,0.00754,0.00599,4.59286,0.98657,0.59743,5.56729,4.04576,8e-05,8e-05,0.09208
2,7.77337,4.33969,0.41502,0.5341,5.31938,3.8196,0,0,0,0,0,0,0,0,4.12467,1.03487,0.42114,4.54837,3.32489,0.000169999,0.000169999,0.08317
3,10.5846,4.00581,0.36194,0.49856,4.6507,3.23022,0,0,0,0,0,0,0,0,4.1282,1.00779,0.401,4.50354,3.15818,0.000259993,0.000259993,0.07426
4,13.4113,3.94432,0.26505,0.49009,4.3974,3.04614,0,0,0,0,0,0,0,0,4.13627,0.99458,0.40103,4.5528,3.05428,0.000349979,0.000349979,0.06535
5,16.2773,3.70246,0.20473,0.5389,3.87282,2.7674,0,0,0,0,0,0,0,0,4.07835,0.9933,0.41168,4.62586,2.97833,0.000439952,0.000439952,0.05644
6,19.1207,3.47106,0.18473,0.52508,3.54648,2.68548,0,0,0,0,0,0,0,0,3.97776,1.00022,0.42063,4.73622,2.94127,0.00052991,0.00052991,0.0475299
7,21.9132,2.99521,0.16615,0.49093,3.28471,2.50122,0,0,0,0,0,0,0,0,3.92582,0.99718,0.42376,4.83021,2.91717,0.000619849,0.000619849,0.0386198
8,24.7026,2.83291,0.1871,0.42288,2.91774,2.34135,0,0,0,0,0,0,0,0,3.89521,0.98774,0.418,4.88585,2.87419,0.000709764,0.000709764,0.0297098
9,27.502,2.63159,0.1871,0.4766,2.79942,2.24191,0,0,0,0,0,0,0,0,3.56542,0.96861,0.38884,4.86594,2.63854,0.000799653,0.000799653,0.0207997
10,30.233,2.52265,0.21212,0.43033,2.52418,2.08116,0,0,0,0,0,0,0,0,3.26475,0.95443,0.36016,4.689,2.46696,0.000889511,0.000889511,0.0118895
11,33.0286,2.34202,0.11395,0.43507,2.52792,1.99765,0.15,0.07059,0.0628,0.01743,0.15,0.07059,0.0628,0.0628,3.25968,0.94231,0.34057,4.41093,2.45752,0.000979335,0.000979335,0.00297934
12,35.8667,2.33059,0.1876,0.57027,2.38009,1.9771,0.14333,0.14353,0.10031,0.0366,0.13889,0.13765,0.09553,0.09553,3.01477,0.93272,0.35556,4.26363,2.23826,0.000999179,0.000999179,0.000999179
13,38.8129,2.13505,0.08339,0.43092,2.26477,1.8917,0.08036,0.28647,0.12753,0.06258,0.0794,0.28059,0.1241,0.12206,2.4617,0.94896,0.35516,3.74287,1.96388,0.000999023,0.000999023,0.000999023
14,41.6788,2.15243,0.18781,0.48139,2.20589,1.7837,0.03066,0.33147,0.08942,0.04633,0.03854,0.41471,0.10908,0.1067,2.21587,0.95363,0.37426,3.53606,1.83911,0.000998854,0.000998854,0.000998854
15,44.5289,2.13195,0.10381,0.49785,2.27054,1.82507,0.0335,0.40147,0.07652,0.03936,0.03294,0.41971,0.08714,0.08515,2.05879,0.94691,0.40791,3.57715,1.81144,0.000998671,0.000998671,0.000998671
16,47.4039,2.01137,0.1785,0.49137,2.06517,1.68187,0.28772,0.19801,0.08875,0.04275,0.26757,0.18765,0.09016,0.08896,2.03608,0.96777,0.4017,3.21307,1.78625,0.000998474,0.000998474,0.000998474
