epoch,train_loss_all,train_acc_all,val_loss_all,val_acc_all
1,2.1646825370788574,0.1706,1.8524496331214906,0.258
2,1.5328201467514038,0.4214,1.367339485168457,0.501
3,1.0533187821388246,0.6111,0.9209020700454712,0.676
4,0.7663987703323364,0.7259,0.7132049708366394,0.751
5,0.5896262249469757,0.7861,0.7413841831684113,0.746
6,0.44808341994285583,0.8429000000000001,0.41663970333337785,0.847
7,0.36814130148887636,0.8681000000000001,0.3587387406527996,0.88
8,0.30314990745782855,0.8952,0.5521319434642792,0.8190000000000001
9,0.26960603021383284,0.9041,0.2765491071641445,0.909
10,0.24646309236884117,0.9119,0.26549908923357723,0.895
11,0.21406284892559052,0.9242,0.21963182801380754,0.922
12,0.16544523943960668,0.9432,0.18697371739149093,0.931
13,0.17731804431974887,0.9373,0.20294626652263104,0.918
14,0.13789255917072296,0.9525,0.19091299064457418,0.9380000000000001
15,0.14169767007231712,0.9516,0.22365080745518207,0.919
16,0.12094895934164523,0.9561000000000001,0.22643693739897572,0.922
17,0.1201240083500743,0.9593,0.2360416100649163,0.92
18,0.10277832110524178,0.9657,0.19488480392098426,0.9420000000000001
19,0.13401110706180333,0.9541000000000001,0.17323230876028536,0.9430000000000001
20,0.09567976147010922,0.9652000000000001,0.22205590942129494,0.928
21,0.0889303703468293,0.9697,0.21985240799933672,0.9380000000000001
22,0.10001599597930909,0.9653,0.23226519679574995,0.914
23,0.1033717761285603,0.9647,0.21979767059534788,0.934
24,0.07676767164058983,0.9738,0.2757236406058073,0.925
25,0.06727674746215344,0.9772000000000001,0.2522175931095844,0.92
26,0.10634135172180831,0.9614,0.21862192790210247,0.929
27,0.059241534914262595,0.9793000000000001,0.16678007300756872,0.9450000000000001
28,0.07176886306116358,0.9777,0.2005866922698915,0.9380000000000001
29,0.05522888554567471,0.9810000000000001,0.08312117991736159,0.968
30,0.08081281105056405,0.9711000000000001,0.13705581993609667,0.9560000000000001
31,0.05786016089981422,0.9808,0.13167878297856078,0.9580000000000001
32,0.06558587079625577,0.9788,0.2400349433219525,0.9410000000000001
33,0.05892740750368684,0.9786,0.13958946648266282,0.96
34,0.051479032181063665,0.9830000000000001,0.10774825183092616,0.965
35,0.04668261659357231,0.9840000000000001,0.2326035938267596,0.936
36,0.05094919805973768,0.9831000000000001,0.2253906374463686,0.935
37,0.07675397310126574,0.9755,0.1670655153398402,0.9510000000000001
38,0.05988504465594888,0.9808,0.12413342230021954,0.9560000000000001
39,0.05078274494940415,0.9838,0.21868043804029003,0.935
40,0.034318028602935376,0.9891000000000001,0.20867666113586164,0.936
41,0.04948901461958885,0.9843000000000001,0.1618153397673741,0.9490000000000001
42,0.054831094726361336,0.9836,0.20619351003225891,0.9450000000000001
43,0.05318378394427709,0.9835,0.17928618548531086,0.936
44,0.05379141978754196,0.9807,0.1441096125980839,0.9470000000000001
45,0.05113783462131396,0.9819,0.16836510934401303,0.9540000000000001
46,0.046600350510375574,0.9843000000000001,0.16572615371737628,0.9500000000000001
47,0.01819623757516383,0.9938,0.1626956822704524,0.9550000000000001
48,0.07621903721966665,0.9745,0.08573849974945187,0.967
49,0.05015552687607706,0.9832000000000001,0.16129040382057427,0.9590000000000001
50,0.04624509858796373,0.9841000000000001,0.13264723203144968,0.963
51,0.03732656983167399,0.9879,0.20601654375297948,0.9440000000000001
52,0.04050052240555524,0.9875,0.2295490023350576,0.9550000000000001
53,0.06093059943290427,0.9801000000000001,0.13499444045126438,0.9540000000000001
54,0.029657534789934287,0.9903000000000001,0.1546281429734081,0.9570000000000001
55,0.04756092635390814,0.9858,0.12105972313415259,0.962
56,0.03239809876473155,0.9889,0.13800549757294356,0.96
57,0.031033282489783598,0.9894000000000001,0.16726394058112054,0.9580000000000001
58,0.06742288035147358,0.9786,0.11604416026175023,0.9590000000000001
59,0.04040921669349773,0.9874,0.1166436564847827,0.96
60,0.022566785040142714,0.9927,0.11479692278854782,0.967
61,0.03811438012891449,0.9874,0.210679130559849,0.9500000000000001
62,0.0447547443728894,0.9854,0.22401377384201623,0.9480000000000001
63,0.033905755934666375,0.9878,0.14965558848984073,0.9560000000000001
64,0.034644221246626694,0.9892000000000001,0.10569559593882877,0.97
65,0.0530072615579702,0.9830000000000001,0.18431487755742273,0.9530000000000001
66,0.027394269221926424,0.991,0.15158349773683585,0.964
67,0.08033761277907761,0.9743,0.16687990567088126,0.9490000000000001
68,0.017412628339673393,0.9941000000000001,0.13723872595769354,0.964
69,0.025906356413933827,0.9916,0.45403093908634035,0.893
70,0.051692361136525866,0.9837,0.17123578234226444,0.9480000000000001
71,0.04291234819041565,0.9858,0.19506393213453702,0.9500000000000001
72,0.022487028476817068,0.993,0.1305705926620867,0.966
73,0.041716874996112895,0.9861000000000001,0.18164113483321853,0.9460000000000001
74,0.04603859457323561,0.9845,0.20651059804111718,0.935
75,0.03500946375996573,0.9890000000000001,0.28308849659189583,0.917
76,0.024975683056534036,0.9921000000000001,0.14838165734871292,0.962
77,0.05991196219694393,0.9821000000000001,0.1143935006018728,0.963
78,0.021522014374897116,0.9932000000000001,0.23817432272224345,0.9460000000000001
