confidence,recall,precision
0.963580846786499,0.0009532888465204957,1.0
0.9566475749015808,0.012392755004766444,1.0
0.9539409875869751,0.023832221163012392,1.0
0.9514201879501343,0.03527168732125834,1.0
0.9488561153411865,0.04671115347950429,1.0
0.9474424123764038,0.058150619637750235,1.0
0.9459318518638611,0.07054337464251668,1.0
0.9446128606796265,0.08198284080076262,1.0
0.9426110982894897,0.09342230695900858,1.0
0.9415542483329773,0.10486177311725453,1.0
0.940029501914978,0.11630123927550047,1.0
0.9387719035148621,0.12869399428026693,1.0
0.9370993971824646,0.14013346043851288,1.0
0.9356091022491455,0.1515729265967588,1.0
0.9346524477005005,0.16301239275500476,1.0
0.9331640005111694,0.1744518589132507,1.0
0.9317822456359863,0.18589132507149667,1.0
0.9309879541397095,0.1982840800762631,1.0
0.9290016293525696,0.20972354623450906,1.0
0.9275202751159668,0.22116301239275502,1.0
0.9258482456207275,0.23260247855100094,1.0
0.9234461784362793,0.2440419447092469,1.0
0.9216660857200623,0.25643469971401334,1.0
0.9199143052101135,0.2678741658722593,1.0
0.9167096614837646,0.27931363203050524,1.0
0.9152746200561523,0.29075309818875117,1.0
0.9136041402816772,0.30219256434699715,1.0
0.9117649793624878,0.3145853193517636,1.0
0.9101411700248718,0.3260247855100095,1.0
0.9083657264709473,0.3374642516682555,1.0
0.9050595760345459,0.3489037178265014,1.0
0.9020809531211853,0.3603431839847474,1.0
0.8997724056243896,0.37178265014299333,1.0
0.8977810740470886,0.3841754051477598,1.0
0.8951122164726257,0.3956148713060057,1.0
0.8920079469680786,0.4070543374642517,1.0
0.8883668184280396,0.41754051477597715,0.9977220956719818
0.885339617729187,0.42897998093422307,0.9977827050997783
0.882220983505249,0.4413727359389895,0.9978448275862069
0.8796552419662476,0.45281220209723544,0.9978991596638656
0.875120222568512,0.4642516682554814,0.9979508196721312
0.8703095316886902,0.47569113441372735,0.998
0.8654880523681641,0.4871306005719733,0.998046875
0.8618178963661194,0.49952335557673977,0.9980952380952381
0.8572686910629272,0.5109628217349858,0.9981378026070763
0.8513569235801697,0.5224022878932316,0.9981785063752276
0.8455279469490051,0.5338417540514776,0.9982174688057041
0.840986967086792,0.5452812202097236,0.9982547993019197
0.8374238014221191,0.5567206863679695,0.9982905982905983
0.8293392658233643,0.5691134413727359,0.9983277591973244
0.8252850770950317,0.5795996186844614,0.9967213114754099
0.8179984092712402,0.5900857959961868,0.9951768488745981
0.8119637370109558,0.6015252621544328,0.9952681388012619
0.8044973015785217,0.6129647283126788,0.9953560371517027
0.789919912815094,0.6253574833174452,0.9954476479514416
0.7801422476768494,0.6358436606291706,0.9940387481371088
0.7671784162521362,0.6425166825548141,0.986822840409956
0.7549224495887756,0.6501429933269781,0.981294964028777
0.7414589524269104,0.6596758817921831,0.9787835926449788
