epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,1793.33,1.22124,1.94246,0.95388,1.44724,0,0.8237,0.60916,0.71225,0.38727,0.80137,0.60104,0.69288,0.3616,1.66285,2.49209,1.49013,1.99851,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,1870.24,1.21009,1.9468,0.9436,1.43494,0,0.83453,0.61003,0.71334,0.44758,0.82814,0.60216,0.69687,0.41795,1.42843,2.32526,1.34536,1.76179,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,1943.41,1.1997,1.91146,0.92796,1.4226,0,0.80533,0.56254,0.65912,0.39594,0.78348,0.5503,0.63549,0.35921,1.60156,2.56947,1.68847,1.90145,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2016.8,1.19816,1.90793,0.9329,1.43257,0,0.81378,0.59235,0.69564,0.3951,0.80024,0.58249,0.67919,0.36599,1.64895,2.59645,1.50291,1.93767,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2094.75,1.18296,1.89883,0.9143,1.40406,0,0.80264,0.6109,0.70118,0.38624,0.79383,0.60729,0.69066,0.36383,1.67849,2.52604,1.3922,2.00908,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,2166.2,1.17744,1.88738,0.91257,1.40456,0,0.8073,0.58481,0.67658,0.40923,0.81914,0.56248,0.65593,0.37733,1.62431,2.44203,1.4594,1.91402,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,2235.81,1.17835,1.88989,0.908,1.40417,0,0.71373,0.48794,0.55788,0.27749,0.71048,0.49307,0.56374,0.27128,2.03069,2.68163,1.69446,2.31982,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,2308.41,1.17129,1.86915,0.9037,1.40305,0,0.7525,0.51638,0.58479,0.37603,0.74206,0.50855,0.56822,0.34419,1.56794,2.55134,1.7888,1.90004,0,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,2378.18,1.16775,1.86509,0.87831,1.39458,0,0.74317,0.52519,0.59616,0.36569,0.7325,0.51765,0.57904,0.33739,1.65722,2.65143,1.6146,1.97067,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,2447.66,1.16249,1.8418,0.86958,1.39064,0,0.78891,0.58307,0.67393,0.4197,0.7781,0.5724,0.65843,0.3907,1.47187,2.45049,1.46457,1.77897,0,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
